Field	Subfield	In Records	Total
000		906	906
001		906	906
003		476	476
005		906	906
006		905	905
007		905	1968
008		906	906
024		906	1153
	$2		1153
	$a		1153
035		477	945
	$a		945
	$z		1
040		906	906
	$e		503
	$c		906
	$b		420
	$a		906
041		602	602
	$b		1
	$a		780
	$d		1
	$j		17
	$h		2
042		1	1
	$a		1
043		525	525
	$a		645
079		136	136
	$a		136
099		1	1
	$a		1
100		5	5
	$d		1
	$e		9
	$a		5
245		906	906
	$b		287
	$a		906
	$p		3
	$f		1
	$c		307
	$h		837
246		602	865
	$b		171
	$i		70
	$a		865
250		1	1
	$a		1
260		904	904
	$b		3
	$c		904
	$a		3
300		906	1392
	$b		1391
	$c		1137
	$a		1392
	$f		1
	$3		1390
490		718	718
	$a		718
500		905	1885
	$a		1885
505		1	1
	$t		24
	$r		24
506		1	1
	$a		1
508		779	780
	$a		780
511		853	865
	$a		865
518		893	893
	$a		893
520		905	1449
	$9		96
	$a		1449
	$u		15
530		656	656
	$a		656
534		895	896
	$m		727
	$e		890
	$p		896
538		4	4
	$a		4
540		904	904
	$a		904
546		690	691
	$a		691
600		344	429
	$c		27
	$a		429
	$q		5
	$v		252
	$d		124
	$t		93
	$e		2
	$x		21
	$l		3
610		137	152
	$b		24
	$a		152
	$v		18
	$d		2
	$t		8
	$z		1
	$x		10
	$n		3
611		2	2
	$d		2
	$c		2
	$n		2
	$a		2
	$t		1
630		11	18
	$a		18
650		882	3360
	$a		3360
	$v		228
	$d		1
	$z		1536
	$x		772
	$y		29
651		227	337
	$a		337
	$v		37
	$z		15
	$x		304
	$y		136
653		567	996
	$a		1006
655		905	2960
	$2		2934
	$a		2960
	$x		1
700		826	2468
	$a		2468
	$4		3337
	$q		8
	$d		367
	$t		44
	$e		171
	$c		20
	$i		2
	$l		1
710		906	2016
	$e		65
	$b		18
	$a		2016
	$4		1108
711		246	246
	$d		244
	$a		246
	$4		1
	$c		244
	$t		235
	$n		244
730		1	1
	$a		1
740		22	46
	$a		46
830		719	719
	$a		719
852		787	1400
	$b		1400
	$c		1400
	$7		447
	$a		1400
	$j		617
	$p		313
	$m		788
856		783	783
	$9		783
	$u		783
