"Subject","Subject-with-subfields","MARC field","Subject source","Metadata"
" Abderhalden, Heidi | Interviews.","$aAbderhalden, Heidi$vInterviews.",600,"Library of Congress Subject Headings",
" Abderhalden, Rolf | Interviews.","$aAbderhalden, Rolf$vInterviews.",600,"Library of Congress Subject Headings",
" Aeschylus. | Oresteia.","$aAeschylus.$tOresteia.",600,"Library of Congress Subject Headings",
" Aeschylus. | Oresteia | Adaptations.","$aAeschylus.$tOresteia$vAdaptations.",600,"Library of Congress Subject Headings",
" Alcott, Louisa May, | 1832-1888. | Little women.","$aAlcott, Louisa May,$d1832-1888.$tLittle women.",600,"Library of Congress Subject Headings",
" Alvarez, Miriam | Interviews.","$aAlvarez, Miriam$vInterviews.",600,"Library of Congress Subject Headings",
" Anderson, Patrick, | 1974- | Interviews.","$aAnderson, Patrick,$d1974-$vInterviews.",600,"Library of Congress Subject Headings",
" Angulo, Liliana | Interviews.","$aAngulo, Liliana$vInterviews.",600,"Library of Congress Subject Headings",
" Antigone | (Mythological character)","$aAntigone$c(Mythological character)",600,"Library of Congress Subject Headings",
" Antigone | (Mythological character) | Drama.","$aAntigone$c(Mythological character)$vDrama.",600,"Library of Congress Subject Headings",
" Aristophanes. | Lysistrata.","$aAristophanes.$tLysistrata.",600,"Library of Congress Subject Headings",
" Ariza, Patricia | Interviews.","$aAriza, Patricia$vInterviews.",600,"Library of Congress Subject Headings",
" Arizpe S., Lourdes | Interviews.","$aArizpe S., Lourdes$vInterviews.",600,"Library of Congress Subject Headings",
" Athey, Ron.","$aAthey, Ron.",600,"Library of Congress Subject Headings",
" Augustine, | Saint, Bishop of Hippo | Influence | Drama.","$aAugustine,$cSaint, Bishop of Hippo$xInfluence$vDrama.",600,"Library of Congress Subject Headings",
" Balcells, Fernando.","$aBalcells, Fernando.",600,"Library of Congress Subject Headings",
" Beckett, Samuel, | 1906-1989. | Selections | Adaptations | Drama.","$aBeckett, Samuel,$d1906-1989.$tSelections$vAdaptations$vDrama.",600,"Library of Congress Subject Headings",
" Bermúdez, Norma L. | Interviews.","$aBermúdez, Norma L.$vInterviews.",600,"Library of Congress Subject Headings",
" Boal, Augusto.","$aBoal, Augusto.",600,"Library of Congress Subject Headings",
" Boal, Augusto. | Jeux pour acteurs et non-acteurs.","$aBoal, Augusto.$tJeux pour acteurs et non-acteurs.",600,"Library of Congress Subject Headings",
" Boal, Augusto. | Méthode Boal de théâtre et de thérapie.","$aBoal, Augusto.$tMéthode Boal de théâtre et de thérapie.",600,"Library of Congress Subject Headings",
" Boal, Augusto. | Teatro del oprimido y otras poéticas políticas.","$aBoal, Augusto.$tTeatro del oprimido y otras poéticas políticas.",600,"Library of Congress Subject Headings",
" Boal, Augusto. | Teatro legislativo.","$aBoal, Augusto.$tTeatro legislativo.",600,"Library of Congress Subject Headings",
" Boán, Marianela | Interviews.","$aBoán, Marianela$vInterviews.",600,"Library of Congress Subject Headings",
" Bolaños, Lucy | Interviews.","$aBolaños, Lucy$vInterviews.",600,"Library of Congress Subject Headings",
" Boliver, Rocío | Interviews.","$aBoliver, Rocío$vInterviews.",600,"Library of Congress Subject Headings",
" Bonet, Wilma | Interviews.","$aBonet, Wilma$vInterviews.",600,"Library of Congress Subject Headings",
" Bopp, Raul. | Cobra norato.","$aBopp, Raul.$tCobra norato.",600,"Library of Congress Subject Headings",
" Brecht, Bertolt, | 1898-1956. | Massnahme.","$aBrecht, Bertolt,$d1898-1956.$tMassnahme.",600,"Library of Congress Subject Headings",
" Brooks, Daphne | Interviews.","$aBrooks, Daphne$vInterviews.",600,"Library of Congress Subject Headings",
" Browning, Barbara, | 1961- | Interviews.","$aBrowning, Barbara,$d1961-$vInterviews.",600,"Library of Congress Subject Headings",
" Brugueras, Tania | Interviews.","$aBrugueras, Tania$vInterviews.",600,"Library of Congress Subject Headings",
" Buenaventura, Enrique | Interviews.","$aBuenaventura, Enrique$vInterviews.",600,"Library of Congress Subject Headings",
" Buntinx, Gustavo | Interviews.","$aBuntinx, Gustavo$vInterviews.",600,"Library of Congress Subject Headings",
" Bush, George W. | (George Walker), | 1946-","$aBush, George W.$q(George Walker),$d1946-",600,"Library of Congress Subject Headings",
" Bustamante, Maris.","$aBustamante, Maris.",600,"Library of Congress Subject Headings",
" Bustamante, Nao | Interviews.","$aBustamante, Nao$vInterviews.",600,"Library of Congress Subject Headings",
" Calcumil, Luisa | Interviews.","$aCalcumil, Luisa$vInterviews.",600,"Library of Congress Subject Headings",
" Calderón de la Barca, Pedro, | 1600-1681. | Gran teatro del mundo | Adaptations.","$aCalderón de la Barca, Pedro,$d1600-1681.$tGran teatro del mundo$vAdaptations.",600,"Library of Congress Subject Headings",
" Camargo, Beatriz | Interviews.","$aCamargo, Beatriz$vInterviews.",600,"Library of Congress Subject Headings",
" Cameron, Jibz.","$aCameron, Jibz.",600,"Library of Congress Subject Headings",
" Campbell, Mary Schmidt.","$aCampbell, Mary Schmidt.",600,"Library of Congress Subject Headings",
