HI_number,﻿NOID,Cataloged Status,Publication Cycle,Correction_note,Format,Source_Tape_Generation,Mastering Offset Timecode,Run_Time,Series_Title,Meeting_Information,Title,Alternate_Titles,Date_of_Production,Location_Venue,Language,Main_Production_Credits,Additional_Production_Credits,Participants,Performers,Worktypes,Performance_Genres,Summary,Subjects,Rights_Holder,Broadcast_Note,Note_to_Cataloger,Pattern
HI2018.088_01,j9kd5b1r,,2020-04 April,Updated: Summary,Media source original: 1,original recording,,0:03:23;00,David Khang,,Zen for Mouth (after Nam June Paik) //,(Performance exaggerating my Oriental/Occidental Features),2003 Apr. 18.,"Track 16 Gallery, Los Angeles, California, USA",,"David Khang, creator.","Deborah Oliver, Lida Abdullah, curators ; Ye Rin Mok, videographer ; Vince Manganello, Sherry Mateo, assistants.",,"David Khang, performer.",Performance,Performance art,"[SUMMARY]In the performance Zen for Mouth (after Nam June Paik) (2003),calligraphy is written with a beef tongue dipped in used motor oil. Theartist draws a straight line for as long as is physically possible. This isthe first of three performances based on avant-garde composer La MonteYoung's Compositions 1960 Series: ""Draw a straight line and follow it."" -Composition 1960 #10 to Bob Morris. [BIO]David Khang is a visual,performance, and biological artist whose practice is informed by educationin psychology, theology, dentistry, and law. Khang selectively imbeds thesedisciplinary codes into his work, to compose interdisciplinary languagesthat materialize in visual, textual, and spoken forms. In performing, Khangoften embodies these languages to interrogate social constructions – ofgender, race, and interspecies relations – that are present withindominant historic narratives in contemporary culture. By strategicallyemploying non-native languages and code switching, Khang producesdivergent, dissonant, and often hyperbolic and humorous readings thatre-imagine the poetic and the political.","Khang, David|Calligraphy|Embodiment|Young, La Monte--Criticism and interpretation|Cultural heritage",David Khang,,"Please create LOC subject heading for ""Khang, David""",2
HI2018.089_01,djh9w9h8,,2020-04 April,Updated: Summary,Media source original: 1,original recording,,0:03:49;00,David Khang,,Speaking of Butterflies,,2004 Oct. 23.,"Track 16 Gallery, Los Angeles, California, USA",English,"David Khang, creator.","Deborah Oliver, curator ; Mark Reyes, videographer.",,"David Khang, performer.",Performance,Performance art|Multimedia,"[SUMMARY]In this performance, the monarch butterflies are gently tethered to a silk string that is in turn sutured to the tongue, temporarily connecting bodies acrossspecies. The butterflies are released, unharmed, at the end of thepiece. This is the second of three projects based on La MonteYoung’s Compositions 1960: ""Turn a butterfly (or any number ofbutterflies) loose in the performance area. When the composition is over,be sure to allow the butterfly to fly away outside. The composition may beany length but if an unlimited amount of time is available, the doors andwindows may be opened before the butterfly is turned loose and thecomposition may be considered finished when the butterfly flies away."" -Composition 1960 #5. [BIO]David Khang is a visual, performance, andbiological artist whose practice is informed by education in psychology,theology, dentistry, and law. Khang selectively imbeds these disciplinarycodes into his work, to compose interdisciplinary languages thatmaterialize in visual, textual, and spoken forms. In performing, Khangoften embodies these languages to interrogate social constructions – ofgender, race, and interspecies relations – that are present withindominant historic narratives in contemporary culture. By strategicallyemploying non-native languages and code switching, Khang producesdivergent, dissonant, and often hyperbolic and humorous readings thatre-imagine the poetic and the political.","Khang, David|Young, La Monte--Criticism and interpretation|Cultural heritage|Embodiment|Monarch butterfly",David Khang,,"Please create LOC Subject Heading for ""Khang, David""",2
HI2018.090_01,8w9gj6pr,,2020-04 April,N/A,Media source original: 1,original recording,,0:03:26;00,David Khang,,(vag)Anal Painting,(after Shigeko Kubota),2005 May 6.,"Grunt Gallery, Vancouver, BC, Canada",,"David Khang, creator ; Grunt Gallery, producer.","Grunt Gallery, commissioner ; Bobbi Kozinuk, videographer.",,"David Khang, performer.",Performance,Performance art,"[SUMMARY]This homoerotic and scatological performance is not only anhomage to Shigeko Kubota's Vagina Painting (1965) but, more urgently, atongue-in-cheek response to gendered and racialized representations andreadings of bodies in contemporary culture. ""If Kubota challenged the works of male artists like Pollock, Klein, andPaik––by counterposing the female body's productivity to the masculinepainterly gestures loaded with phallic symbolism––I want my work to beread against two forces. First, (East) Asian calligraphy. Manypractitioners believe in a link between male virility and the strength ofhis brush stroke, the brush tip standing in for the phallus. Throughscatological markmaking, I aim to 'pollute' this phallogocentrism. Second,I want to interrogate the white gaze, and how the Asian body, or for thatmatter, Asia as a body, is feminized (see Said)."" - David Khang, an excerptfrom Interview with Glenn Alteen, brunt magazine, Issue #1. [BIO]DavidKhang is a visual, performance, and biological artist whose practice isinformed by education in psychology, theology, dentistry, and law. Khangselectively imbeds these disciplinary codes into his work, to composeinterdisciplinary languages that materialize in visual, textual, and spokenforms. In performing, Khang often embodies these languages to interrogatesocial constructions – of gender, race, and interspecies relations –that are present within dominant historic narratives in contemporaryculture. By strategically employing non-native languages and codeswitching, Khang produces divergent, dissonant, and often hyperbolic andhumorous readings that re-imagine the poetic and the political.","Khang, David|Embodiment|Scatology in art|Identity politics|Marginality, Social|Body politics|Sexuality",David Khang,,"Please create LOC Subject Heading for ""Khang, David""",2
HI2018.091_01,547d866w,,2020-04 April,Updated: Subjects,Media source original: 1,original recording,,0:04:10;00,David Khang,,Mediamorphosis,,2006 Sept. 16.,"The Western Front, Vancouver, Canada",,"David Khang, creator.","Joanne Bristol, curator ; Erin Perry, videographer ; Erin Perry, Jeremy Hatch, assistant ; Jason deCouto, pianist.",,"David Khang, performer.",Performance,Performance art,"[SUMMARY]Mediamorphosis examines acts of translation: between direct andmediated experiences, between past and present, and between sound, music,and visual language. Live performance, improvisational piano by JasondeCouto, and multi-channel video are juxtaposed to create multipleperspectives of the ""same"" event, complicating the immediacy of performanceart as medium. [BIO]David Khang is a visual, performance, and biologicalartist whose practice is informed by education in psychology, theology,dentistry, and law. Khang selectively imbeds these disciplinary codes intohis work, to compose interdisciplinary languages that materialize invisual, textual, and spoken forms. In performing, Khang often embodiesthese languages to interrogate social constructions – of gender, race,and interspecies relations – that are present within dominant historicnarratives in contemporary culture. By strategically employing non-nativelanguages and code switching, Khang produces divergent, dissonant, andoften hyperbolic and humorous readings that re-imagine the poetic and thepolitical.","Khang, David|Translation and interpretation|Temporality|Performance art",David Khang,,"Please create LOC Subject Headings for ""Khang, David"" and ""Temporality""",2
HI2018.092_01,1c5b05pj,,2020-04 April,N/A,Media source original: 1,original recording,,0:09:14;00,David Khang,,M Butterfly,(after Shigeko Kubota),2007 Nov. 10.,"Tisch School of the Arts at New York University, New York City, New York, USA","English, Latin","David Khang, creator ; Tisch School of the Arts, producer ; Franklin Furnace Archive, co-sponsor ; Performance Studies International, producer.","Lissette Olivares, Irene Loughlin, videographer ; Robyn Volk, costume designer.",,"David Khang, performer.",Performance,Performance art,"[SUMMARY]M. Butterfly (After Shigeko Kubota) is citational by design. In1960, La Monte Young wrote his Composition 1960 #5, which instructs theperformer to “Turn a butterfly (or any number of butterflies) loose inthe performance area.” In 1965, Shigeko Kubota performed Vagina Paintingat the Perpetual Fluxus Festival, Cinemateque, NYC. In 1988, David HenryHwang’s play M. Butterfly premiered on Broadway, NYC. In 2007, thesehistorically significant pieces—all performed in NYC—become departurepoints that converge in one re-mixed performance, with the potential fordivergent readings with contemporary social, political, racial, and sexualimplications. Through this piece, reinterpreting performance works from thepast becomes a means of re-imagining new poetic and political strategiesfor the present. [BIO]David Khang is a visual, performance, and biologicalartist whose practice is informed by education in psychology, theology,dentistry, and law. Khang selectively imbeds these disciplinary codes intohis work, to compose interdisciplinary languages that materialize invisual, textual, and spoken forms. In performing, Khang often embodiesthese languages to interrogate social constructions – of gender, race,and interspecies relations – that are present within dominant historicnarratives in contemporary culture. By strategically employing non-nativelanguages and code switching, Khang produces divergent, dissonant, andoften hyperbolic and humorous readings that re-imagine the poetic and thepolitical.","Khang, David|Young, La Monte--Criticism and interpretation|Embodiment|Monarch butterfly|Scatology in art|Identity politics|Body politics",David Khang,,"Please create LOC Subject Heading for ""Khang, David""",2
HI2018.093_01,wm37q5cq,,2020-04 April,Updated: Subjects,Media source original: 1,original recording,,0:08:12;00,David Khang,,Phalogocentrix,,2007 Mar. 17.,"St. George-the-Martyr Anglican Church, Toronto, Canada","English, Hebrew, Korean","David Khang, creator ; Fado Performance, Inc., producer ; Paul Coulliard, curator.","Maksim Bentsianov, video editor ; Jason deCouto, soundtrack ; Rinaldo Walcott, essayist.",,"David Khang, performer ; Rinaldo Walcott, performer.",Performance,Performance art,"[SUMMARY] Phalogocentrix reflects on constructions and the performativityof language, which is at once gendered (phallocentric), and linguisticallyand culturally determined (logocentric). Part calligraphy, part yoga, andpart breakdancing, this syncretic ritual explores African and Asiancultural affinities and connectivities, within the theological context andsite of a church. By bringing together traditional and contemporarycultural references, as well as trans-diasporic identities, thisperformance encourages critical discourse on the relationships betweenrace, gender, and language. [BIO] David Khang is a visual, performance, andbiological artist whose practice is informed by education in psychology,theology, dentistry, and law. Khang selectively imbeds these disciplinarycodes into his work, to compose interdisciplinary languages thatmaterialize in visual, textual, and spoken forms. In performing, Khangoften embodies these languages to interrogate social constructions – ofgender, race, and interspecies relations – that are present withindominant historic narratives in contemporary culture. By strategicallyemploying non-native languages and code switching, Khang producesdivergent, dissonant, and often hyperbolic and humorous readings thatre-imagine the poetic and the political.","Khang, David|Language & society|Calligraphy|Embodiment|Cultural heritage|Diaspora",David Khang,,"Please create LOC Subject Heading for ""Khang, David""",2
HI2018.094_01,rv15f4vc,,2020-04 April,Updated: Location/Ven
ue of Event,Media source original: 1,original recording,,0:04:44;00,David Khang,,El otro nueve once,(con el tankecito),2008,"La Moneda, Santiago, Chile","Spanish, Korean","David Khang, creator ; Deformes Performance Bienale, producer.",,,"David Khang, performer ; Cheto Castellano, performer ; Lissette Olivares, performer.",Performance,Performance art,"[SUMMARY]El otro nueve once (con el tankecito) (2008) is a site-specificpublic performance that took place at La Moneda, the Chilean presidentialpalace. The project remembers the 1973 military coup led by General AugustoPinochet and supported by both the CIA and the Chicago School, which soughtto overturn Chile's socialist movement. A bicycle-powered miniature tank(referencing the tanks used in the first coup, attempt earlier that year)becomes the vehicle for reciting and remembering Salvador Allende's finalpresidential speech before his death. The speech is read in Spanish andKorean. The work is completed in Valdivia, Chile, as pink military fatiguesare painted copper––or cobre––one of the driving forces of theChilean economy, and one of the few industries that remained in publiccontrol after the post-coup privatization. This performance is part of theWrong Places series, an ongoing series of site-specific publicperformances. For each, Khang researched specific geopolitical historiesand juxtaposed and/or remixed seemingly disparate events. In this way,Khang produces dissonant as well as consonant readings, and works tore-imagine these events' poetic and political potentials. [BIO]David Khangis a visual, performance, and biological artist whose practice is informedby education in psychology, theology, dentistry, and law. Khang selectivelyimbeds these disciplinary codes into his work, to compose interdisciplinarylanguages that materialize in visual, textual, and spoken forms. Inperforming, Khang often embodies these languages to interrogate socialconstructions – of gender, race, and interspecies relations – that arepresent within dominant historic narratives in contemporary culture. Bystrategically employing non-native languages and code switching, Khangproduces divergent, dissonant, and often hyperbolic and humorous readingsthat re-imagine the poetic and the political.","Khang, David|El tanquetazo|Geopolitics|Pinochet Ugarte, Augusto. Crucial day, September 11, 1973|Memory--Political aspects--Chile|Coup d'état (Chile: 1973)",David Khang,,"Please create LOC Subject Headings for ""Khang, David"", ""El tanquetazo"", and ""Coup d'état (Chile: 1973)",2
HI2018.095_01,n2z3548q,,2020-04 April,N/A,Media source original: 1,original recording,,0:11:13;00,David Khang,,How to Feed a Piano,(collaboration with an Indian Cowboy),2008 May 16.,"Centre A | Vancouver International Centre for Contemporary Asian Art, Vancouver, Canada",,"David Khang, creator ; Centre A | Vancouver International Centre for Contemporary Asian Art, producer ; Franklin Furnace Archive, The Canada Council for the Arts, British Columbia Arts Council, funders.","Candice Hopkins, collaborator ; Dustin Wadsworth, videographer ; Khema Younghwa Cho, editor.","Candice Hopkins, Garry Gottfriedson, horse handler ; Hank Bull, Joomi Seo, pianists.","David Khang, performer ; Khema Younghwa Cho, Robbie, performer.",Performance,Performance art,"[SUMMARY]How to Feed a Piano (2008) is the third and final performance inDavid Khang's series based on La Monte Young's Compositions 1960: ""Bring abale of hay and a bucket of water onto the stage for the piano to eat anddrink. The performer may then feed the piano or leave it to eat by itself.If the former, the piece is over after the piano has been fed. If thelatter, it is over after the piano eats or decides not to.""  - Piano Piecefor David Tudor #1 (1960). Khang re-interprets the piece in the followingmanner: ""Feed the piano hay and water while accompanied by pianist(s).Climb inside, and through the piano. Cover the front of the body in bluepaint. Be harnessed to the horse, and pulled along to draw a line. Thehorse rider is a First Nations woman, or an Indian cowboy.""  - Instructionsfor How To Feed A Piano (2008). [BIO] David Khang is a visual, performance,and biological artist whose practice is informed by education inpsychology, theology, dentistry, and law. Khang selectively imbeds thesedisciplinary codes into his work, to compose interdisciplinary languagesthat materialize in visual, textual, and spoken forms. In performing, Khangoften embodies these languages to interrogate social constructions – ofgender, race, and interspecies relations – that are present withindominant historic narratives in contemporary culture. By strategicallyemploying non-native languages and code switching, Khang producesdivergent, dissonant, and often hyperbolic and humorous readings thatre-imagine the poetic and the political.","Khang, David|Young, La Monte--Criticism and interpretation|Embodiment|Body politics|Cultural heritage|Calligraphy",David Khang,,"Please create LOC Subject Heading for ""Khang, David""",2
HI2018.096_01,h9w0w3r7,,2020-04 April,N/A,Media source original: 1,original recording,,0:06:38;00,David Khang,,I Have / Had a Dream,,2008,"Edmonton, Alberta, Canada","English, Korean","David Khang, creator ; Todd Janes, producer ; Visualeyez Festival, Latitude 53 Artist-run Centre Edmonton, producer.","Jessica Tse, photographer ; Yulia Startsev, videographer ; Young Hwa Cho, video editor.",,"David Khang, performer.",Performance,Performance art|Site-specific performance,"[SUMMARY] In 1963, at the Lincoln Memorial (Washington DC), Martin LutherKing, Jr. delivered his ""I Have A Dream"" speech for the American civilrights movement. Forty-five years later, this speech is translated intoKorean, recited for an Anglophone audience, while wearing a Korean militaryuniform painted in UN-blue. English words and phrases spliced into thespeech become cues for imbedded ""assassins"" to shoot pink paintballs atthe uniform, as well as at portraits of Martin Luther King, Jr. and BarackObama. After the performance, the blue uniform is painted pink (a referenceto the term ""pinkos,"" used to label Communist sympathizers). Through theconflicted emotional memory and prism of an era that represented hopes forsocial justice, the contemporary political climate is re-interpreted andreevaluated.This is the second project in an ongoing series of site-specific publicperformances titled Wrong Places. For each. Khang researched specificgeopolitical histories, and juxtaposed and/or remixed seemingly disparateevents. In this way, Khang produces dissonant as well as consonantreadings, and works to re-imagine these events' poetic and politicalpotentials. [BIO]David Khang is a visual, performance, and biologicalartist whose practice is informed by education in psychology, theology,dentistry, and law. Khang selectively imbeds these disciplinary codes intohis work, to compose interdisciplinary languages that materialize invisual, textual, and spoken forms. In performing, Khang often embodiesthese languages to interrogate social constructions – of gender, race,and interspecies relations – that are present within dominant historicnarratives in contemporary culture. By strategically employing non-nativelanguages and code switching, Khang produces divergent, dissonant, andoften hyperbolic and humorous readings that re-imagine the poetic and thepolitical.","Khang, David|Geopolitics|Memory--political aspects|Violence--Cross-cultural studies|Social transformation|Cultural heritage",David Khang,,"Please create LOC Subject Heading for ""Khang, David""",2
