HI_number,Correction_note,Format,Source_Tape_Generation,Series_Title,Meeting_Information,Run_time,Title,Alternate_Titles,Production_Information,Main_Production_Credits,Participants,Summary,Language,Subjects,Worktypes,Location,Rights_Holder
HI2003.001_01,"Corrections made to fields 'Tape _ of _', 534, 440, 711, 245, 246, 260, 300, 500, 506, 508, 511, 520, 653, 655, 845 and 'Rights Holder Information'.","Media source original:$e1 videocassette (Mini DV) : digital sd., col.; dimensions: 1/4 in.",,Spectacles of Religiosities,Hemispheric Institute Annual Seminar/Encuentro$n(4th :$d2003 :$cNew York University),60 min.,"Jean Franco Keynote Address: 'The Second Coming: Religion as Entertainment' / $c Jean Franco, creator ; Hemispheric Institute, producer.",The Second Coming: Religion as Entertainment,"$a New York University, New York, United States : $c 2003 July.","NYU TV and Media, videographer.","Jean Franco, keynote speaker.","Video documentation of Jean Franco’s keynote address, ‘The Second Coming: Religion as Entertainment,’ presented as a part of the 4th Encuentro of the Hemispheric Institute of Performance and Politics, celebrated in July of 2003 in New York City, United States under the title ‘Spectacles of Religiosities.’ Everywhere secularism is in retreat. Not only are fundamentalists on the rise but also many competing brands of spirituality are now widely disseminated through media, film, best selling fiction and television. While most orthodox religions have always used ritual and performance, telecommunications and televisual effects are transforming religion into religiosity. ‘The return of religion’ has become an issue. Jean Franco is currently Professor Emeritus at Columbia University. She is the winner of the PEN 1996 award for lifetime contribution to the dissemination of Latin American literature in English and has been recognized by the Chilean and Venezuelan governments for advanced scholarship on Latin American literature in the United States.",English,"Franco, Jean| Religion and Telecommunications| Return of Religion| Hemispheric Institute| Spectacles of Religiosities",,,Hemispheric Institute of Performance and Politics
HI2003.002_01,"Corrections made to fields 'Tape _ of _', 534, 440, 711, 245, 246, 260, 300, 500, 506, 508, 511, 520, 653, 655, 845 and 'Rights Holder Information'.","Media source original:$e1 videocassette (Mini DV) : digital sd., col.;  dimensions: 1/4 in.",,Spectacles of Religiosities,Hemispheric Institute Annual Seminar/Encuentro$n(4th :$d2003 :$cNew York University),60 min.,"Gustavo Buntix Keynote Address: 'Sarita Colonia: De ícono religioso a héroe cultural' / $c Gustavo Buntinx, creator ; Hemispheric Institute, producer.",Sarita Colonia: De ícono religioso a héroe cultural | Dearest Sarah: Religious Icon and Cultural Hero,"$a New York University, New York, United States : $c cJuly 2003.","Barbara Kirshenblatt-Gimblett, introduction by ; NYU TV and Media, videographer.","Gustavo Buntix, keynote speaker.","Video documentation of Gustavo Buntinx’s keynote address, ‘Sarita Colonia: De icono religioso a héroe cultural’, presented as part of the 4th Encuentro of the Hemispheric Institute of Performance and Politics, celebrated in July of 2003 in New York City, United States under the title ‘Spectacles of Religiosities’. Introduction by Barbara Kirshenblatt-Gimblett. Gustavo Buntix is an art historian, critic and independent curator, and director of the Cultural Center of the Universidad Nacional Mayor de San Marcos (Peru). A graduate of Harvard University, where he studied Literature and History, he completed postgraduate studies at the Universidad de Buenos Aires. He has been professor in Art Criticism History, Latin American Art, and 20th. Century Art at the Universidad de Buenos Aires and the Universidade do São Paulo. In Lima he directed the Italian Art Museum and the Art and History Universidad de San Marcos Museum. He has been curator of more than a dozen exhibits in Peru, Uruguay and México. His essays are published in art criticism anthologies released in Europe and the US.",Spanish,"Buntix, Gustavo| Colonia, Sarita. | Identity politics | Hemispheric Institute",Spectacles of Religiosities,,Hemispheric Institute of Performance and Politics
HI2003.003_01,"Corrections made to fields 'Tape _ of _', 534, 440, 711, 245, 246, 260, 300, 500, 506, 508, 511, 520, 653, 655, 845 and 'Rights Holder Information'.","Media source original:$e1 videocassette (Mini DV) : digital sd., col.; dimensions: 1/4 in.",,Spectacles of Religiosities,Hemispheric Institute Annual Seminar/Encuentro$n(4th :$d2003 :$cNew York University),60 min.,"Gustavo Buntix Keynote Address: 'Sarita Colonia: De ícono religioso a héroe cultural' / $c Gustavo Buntinx, creator ;  Hemispheric Institute, producer.",Sarita Colonia: De ícono religioso a héroe cultural | Dearest Sarah: Religious Icon and Cultural Hero,"$a New York University, New York, United States : $c cJuly 2003.","Barbara Kirshenblatt-Gimblett, introduction by ; NYU TV and Media, videographer.","Gustavo Buntix, keynote speaker.","Video documentation of Gustavo Buntinx’s keynote address, ‘Sarita Colonia: De icono religioso a héroe cultural’, presented as part of the 4th Encuentro of the Hemispheric Institute of Performance and Politics, celebrated in July of 2003 in New York City, United States under the title ‘Spectacles of Religiosities’. Introduction by Barbara Kirshenblatt-Gimblett. Gustavo Buntix is an art historian, critic and independent curator, and director of the Cultural Center of the Universidad Nacional Mayor de San Marcos (Peru). A graduate of Harvard University, where he studied Literature and History, he completed postgraduate studies at the Universidad de Buenos Aires. He has been professor in Art Criticism History, Latin American Art, and 20th. Century Art at the Universidad de Buenos Aires and the Universidade do São Paulo. In Lima he directed the Italian Art Museum and the Art and History Universidad de San Marcos Museum. He has been curator of more than a dozen exhibits in Peru, Uruguay and México. His essays are published in art criticism anthologies released in Europe and the US.",Spanish,"Buntix, Gustavo| Colonia, Sarita. | Identity politics | Hemispheric Institute",Spectacles of Religiosities,,Hemispheric Institute of Performance and Politics
HI2003.004_01,"Corrections made to fields 'Tape _ of _', 534, 440, 711, 245, 246, 260, 300, 500, 506, 508, 511, 520, 653, 655, 845 and 'Rights Holder Information'.",Media source original:$e1 videocassette (Mini DV) : digital dimensions: 1/4 in.,,Spectacles of Religiosities,Hemispheric Institute Annual Seminar/Encuentro$n(4th :$d2003 :$cNew York University),60 min.,"Carlos Monsiváis Keynote Address: 'El performance como religión, la religión como performance' / $c Carlos Monsiváis, creator ; Hemispheric Institute, producer.","El performance como religión, la religión como performance| Performance as Religion, Religion as Performance","$a New York University, New York, United States : $c cJuly 2003.",,"Lourdes Arizpe, introduction by ; NYU TV and Media, videographer.","Video documentation of Carlos Monsiváis’ keynote address presented as a part of the 4th Encuentro of the Hemispheric Institute of Performance and Politics, celebrated in July of 2003 in New York City, United States under the title ‘Spectacles of Religiosities.’ Introduction by Lourdes Arizpe. Carlos Monsiváis is a prominent essayist, satirist, and novelist living in Mexico City. Mr. Monsiváis has contributed to Mexican journals such as, Excelsior, Siempre, and Nexos and he currently writes for La Jornada as well as El Financiero. He is the author of more than a dozen books in Spanish, both fiction and nonfiction, including Amor Perdido, Días de Guardar, A Ustedes les Consta, Nuevo Catecismo Para Indios Remisos, and Escenas de Pudor y Liviandad. Mexican Postcards is the title of a volume of his essays in English.",Spanish,"Monsiváis, Carlos| Performance as religion| Religion as performance| Hemispheric Institute| Spectacles of Religiosities",,,Hemispheric Institute of Performance and Politics
HI2003.005_01,"Corrections made to fields 'Tape _ of _', 534, 440, 711, 245, 246, 260, 300, 500, 506, 508, 511, 520, 653, 655, 845 and 'Rights Holder Information'.","Media source original:$e1 videocassette (Mini DV) : digital sd., col.; dimensions: 1/4 in.; film brand description: Panasonic MiniDV",,Spectacles of Religiosities,Hemispheric Institute Annual Seminar/Encuentro$n(4th :$d2003 :$cNew York University),60 min.,"Nao Bustamante: 'Sans Gravity' / $c Nao Bustamante, creator ; Hemispheric Institute, producer.",Sans Gravity,"$a New York University, New York, United States : $c 2003 July.","NYU TV and Media, videographer.","Nao Bustamante, performer ; Roberto Sifuentes, assistant.","Video documentation of Nao Bustamante’s solo performance ‘Sans Gravity,’ presented as a part of the 4th Encuentro of the Hemispheric Institute of Performance and Politics, celebrated in July of 2003 in New York City, United States under the title ‘Spectacles of Religiosities.’ Water can symbolize many things, but often it is associated with knowledge and emotion; both of which are difficult to define in logical terms. In the installation/performance space of ‘Sans Gravity’, Bustamante explores the metaphors associated with water in the physical realm by burdening her body. The weight and the movement of the water develop into extensions of the gesture and another layer of the distorted self. The audience becomes a mechanism of relief. Nao Bustamante is an internationally known performance art pioneer originating from the San Joaquin Valley of California. Her work encompasses performance art, installation, video, pop music and experimental rips in time. Using the body as a source of image, narrative and emotion, her performances communicate on the level of subconscious language taking the spectator on a bizarre journey, with haunting images, cracking stereotypes by embodying them. Bustamante's work has been presented, among other sites at, the Institute of Contemporary Arts in London, the San Francisco Museum of Modern Arts, and the Kiasma Museum of Helsinki. She has performed in Galleries, Museums, Universities and underground sites throughout Asia, Africa, Europe, New Zealand, Australia, Canada, Mexico and the United States. Her collaborations include working with such luminaries as Coco Fusco and Osseus Labrint. In 2001 she received the prestigious Anonymous Was a Woman fellowship. Currently she is living in Troy, New York and an assistant professor of New Media and Live Art at Rensselaer Polytechnic Institute.",English,"Bustamante, Nao| Performance art| Endurance art| Hemispheric Institute| Spectacles of Religiosities",Performance | Performance art| Endurance art,,Hemispheric Institute of Performance and Politics
HI2003.006_01,"Corrections made to fields 'Tape _ of _', 534, 440, 711, 245, 246, 260, 300, 500, 506, 508, 511, 520, 653, 655, 845 and 'Rights Holder Information'.","Media source original:$e1 videocassette (Mini DV) : digital sd., col.; dimensions: 1/4 in.; film brand description: Panasonic MiniDV",,Spectacles of Religiosities,Hemispheric Institute Annual Seminar/Encuentro$n(4th :$d2003 :$cNew York University),60 min.,"Denise Stoklos: 'Calendário da Pedra' / $c Denise Stoklos, creator ; Denise Stoklos, writer ; Denise Stoklos, director ; Hemispheric Institute, producer.",Calendário da Pedra| Calendar of Stone| Calendario de Piedra,"$a New York University, New York, United States : $c 2003 July.","NYU TV and Media, videographer ; Anna Deavere Smith, post-performance discussion moderator.","Denise Stoklos, performer.","Video documentation of Denise Stoklos’ solo performance ‘Calendário da Pedra’ (‘Calendar of Stone’), presented as a part of the 4th Encuentro of the Hemispheric Institute of Performance and Politics, celebrated in July of 2003 in New York City, United States under the title ‘Spectacles of Religiosities.’ ‘Calendário da Pedra’ is a woman's recounting of a year of her life, in diary form, dealing with death, depression, faith, and the will to go on. Post performance discussion lead by Anna Deavere Smith. Denise Stoklos is a Brazilian playwright, director and actress, who has, over the past thirty years, created a body of theatrical works called ‘Essential Theatre’ which deals with the energy of body, voice, and intuition under a mind of historical reference: Mary Stuart (1987), Un-Medea (1989), Casa (1990),",Portuguese,"Stoklos, Denise| Brazilian theater| Women and Performance| Hemispheric Institute| Spectacles of Religiosities",Performance | Theater | Brazilian theater| One-person show (Performing arts),,Hemispheric Institute of Performance and Politics
HI2003.007_01,"Corrections made to fields 'Tape _ of _', 534, 440, 711, 245, 246, 260, 300, 500, 506, 508, 511, 520, 653, 655, 845 and 'Rights Holder Information'.","Media source original:$e1 videocassette (Mini DV) : digital sd., col.; dimensions: 1/4 in.; film brand description: Panasonic MiniDV",,Spectacles of Religiosities,Hemispheric Institute Annual Seminar/Encuentro$n(4th :$d2003 :$cNew York University),60 min.,"Reverend Billy and the Church of Stop-Shopping: Live / $c Bill Talen, creator ; Bill Talen, director ; Hemispheric Institute, producer.",Performance by Rev. Billy and Church of Stop-Shopping,"$a New York University, New York, United States : $c 2003 July.","NYU TV and Media, videographer ; Jill Lane, post-performance discussion moderated by.","Bill Talen, protagonist.","Video documentation of Reverend Billy and his Church of Stop Shopping’s performance- intervention, presented as a part of the 4th Encuentro of the Hemispheric Institute of Performance and Politics, celebrated in July of 2003 in New York City, United States under the title ‘Spectacles of Religiosities.’ Reverend Billy is a character inhabited by the author/actor William ‘Bill’ Talen. An invention that resists titles like Performance Artist, Man of God, or Anarchist -- Reverend Billy and his Church of Stop Shopping have become popular as none of the above or as all three. In one form, this project is an interactive play, an evening-length church service that seems to evolve from comedy to some sort of secular spirituality that downtown New York hipsters embrace. Working in 300-seat theaters with large gospel choirs that sing anti-consumerist lyrics (‘Stop Shopping! Stop Shopping! Now we can leave the Shopping Malls!’), the Reverend usually works, like a normal church, with a theme at each service. These range from anti-sweatshop concerns, to the neighborhood defense against the economy of tourism, to animal rights. However, Reverend Billy is best known for his Disney and Starbucks store invasions, which also combine the elements of drama, religion and politics. Post performance discussion led by Jill Lane.",English,Reverend Billy| Church of Stop Shopping| Political performance| Hemispheric Institute| Spectacles of Religiosisites,Performance | Performance art | Theater | Demonstration / Protest| Political performance,,Hemispheric Institute of Performance and Politics
HI2003.008_01,"Corrections made to fields 'Tape _ of _', 534, 440, 711, 245, 246, 260, 300, 500, 506, 508, 511, 520, 653, 655, 845 and 'Rights Holder Information'.","Media source original:$e1 videocassette (Mini DV) : digital sd., col.; dimensions: 1/4 in.; film brand description: Panasonic MiniDV",,Spectacles of Religiosities,Hemispheric Institute Annual Seminar/Encuentro$n(4th :$d2003 :$cNew York University),60 min.,"East Coast Artists: 'YokastaS' / $c East Coast Artists, creator ; Richard Schechner, director ; Saviana Stanescu, writer ; Richard Schechner, writer ; Hemispheric Institute, producer.",YokastaS,"$a New York University, New York, United States : $c 2003 July.","NYU TV and Media, videographer ; E.D. Intemann, lighting ; Meg Leary, musical director ; Kilbane Porter, dramaturg ; Luis Peirano, post-performance discussion moderated by.","Tracey Huffman, actor ; Suzi Takahashi, actor ; Kilbane Porter, actor ; Rachel Bowditch, actor ; Chris Healy, actor ; Meg Leary, singer.","Video documentation of East Coast Artists’ performance ‘YokastaS,’ presented as a part of the 4th Encuentro of the Hemispheric Institute of Performance and Politics, celebrated in July of 2003 in New York City, United States under the title ‘Spectacles of Religiosities’. ‘YokastaS,’ a play written by Saviana Stanescu and Richard Schechner and directed by Schechner explores the central figure of Yokasta--Oedipus's Queen-Mother-Wife by presenting theatergoers with four Yokastas, each representing distinct parts of her life and different approaches to her experiences. Audiences see Yokasta as a pre-teen, a young woman, a happily married woman, and an older woman who intelligently recollects all aspects of her life. Post-performance discussion led by Luis Peirano.  East Coast Artists is a professional theater company performing new plays and classics in new interpretations. ECA also conducts training workshops. Founded in 1991 by Richard Schechner, ECA has produced ‘Faust/gastronome,’ ‘Amerika’ (after Kafka), Chekhov's ‘Three Sisters,’ and ‘YokastaS.’  ECA emphasizes a long developmental workshop and rehearsal process, open rehearsals, and continuous revision throughout the life of a production. Richard Schechner is University Professor and Professor of Performance Studies at the Tisch School of the Arts, New York University. He is artistic director of East Coast Artists and editor of ‘TDR: A Journal of Performance Studies.’ His books include ‘Environmental Theater,’ ‘Between Theater and Anthropology,’ ‘The End of Humanism,’ ‘Performance Theory,’ ‘Performative Circumstances,’ ‘The Future of Ritual,’ and ‘Performance Studies—An Introduction.’ His books have been translated into Chinese, German, Japanese, Spanish, Italian, Korean, Hungarian, Dutch, and Serbo-Croatian. He founded and directed The Performance Group with which he directed ‘Dionysus in 69,’ ‘Tooth of Crime,’ ‘Mother Courage and Her Children,’ ‘Oedipus,’ and many other works. He continues to direct plays, conduct performance workshops, and lectures in Asia, Africa, Europe, Australia, and the Americas. He is the recipient of numerous fellowships and awards including a Guggenheim, Fulbright, NEH, and a Lifetime Achievement Award from Performance Studies International.",English,"East Coast Artists| Schechner, Richard| Jocasta| Hemispheric Institute| Spectacles of Religiosities",Performance | Theater,,Hemispheric Institute of Performance and Politics
HI2003.009_01,"Corrections made to fields 'Tape _ of _', 534, 440, 711, 245, 246, 260, 300, 500, 506, 508, 511, 520, 653, 655, 845 and 'Rights Holder Information'.","Media source original:$e1 videocassette (Mini DV) : digital sd., col.;  dimensions: 1/4 in.; film brand description: Panasonic MiniDV",,Spectacles of Religiosities,Hemispheric Institute Annual Seminar/Encuentro$n(4th :$d2003 :$cNew York University),60 min.,"East Coast Artists: 'YokastaS' / $c East Coast Artists, creator ;  Richard Schechner, director ; Saviana Stanescu, writer ; Richard Schechner, writer ;  Hemispheric Institute, producer.",YokastaS,"$a New York University, New York, United States : $c 2003 July.","NYU TV and Media, videographer ; E.D. Intemann, lighting ;  Meg Leary, musical director ; Kilbane Porter, dramaturg ; Luis Peirano, post-performance discussion moderated by.","Tracey Huffman, actor ; Suzi Takahashi, actor ; Kilbane Porter, actor ;  Rachel Bowditch, actor ; Chris Healy, actor ; Meg Leary, singer.","Video documentation of East Coast Artists’ performance ‘YokastaS,’ presented as a part of the 4th Encuentro of the Hemispheric Institute of Performance and Politics, celebrated in July of 2003 in New York City, United States under the title ‘Spectacles of Religiosities’. ‘YokastaS,’ a play written by Saviana Stanescu and Richard Schechner and directed by Schechner explores the central figure of Yokasta--Oedipus's Queen-Mother-Wife by presenting theatergoers with four Yokastas, each representing distinct parts of her life and different approaches to her experiences. Audiences see Yokasta as a pre-teen, a young woman, a happily married woman, and an older woman who intelligently recollects all aspects of her life. Post-performance discussion led by Luis Peirano.  East Coast Artists is a professional theater company performing new plays and classics in new interpretations. ECA also conducts training workshops. Founded in 1991 by Richard Schechner, ECA has produced ‘Faust/gastronome,’ ‘Amerika’ (after Kafka), Chekhov's ‘Three Sisters,’ and ‘YokastaS.’  ECA emphasizes a long developmental workshop and rehearsal process, open rehearsals, and continuous revision throughout the life of a production. Richard Schechner is University Professor and Professor of Performance Studies at the Tisch School of the Arts, New York University. He is artistic director of East Coast Artists and editor of ‘TDR: A Journal of Performance Studies.’ His books include ‘Environmental Theater,’ ‘Between Theater and Anthropology,’ ‘The End of Humanism,’ ‘Performance Theory,’ ‘Performative Circumstances,’ ‘The Future of Ritual,’ and ‘Performance Studies—An Introduction.’ His books have been translated into Chinese, German, Japanese, Spanish, Italian, Korean, Hungarian, Dutch, and Serbo-Croatian. He founded and directed The Performance Group with which he directed ‘Dionysus in 69,’ ‘Tooth of Crime,’ ‘Mother Courage and Her Children,’ ‘Oedipus,’ and many other works. He continues to direct plays, conduct performance workshops, and lectures in Asia, Africa, Europe, Australia, and the Americas. He is the recipient of numerous fellowships and awards including a Guggenheim, Fulbright, NEH, and a Lifetime Achievement Award from Performance Studies International.",English,"East Coast Artists| Schechner, Richard| Jocasta| Hemispheric Institute| Spectacles of Religiosities",Performance | Theater,,Hemispheric Institute of Performance and Politics
HI2003.010_01,"Corrections made to fields 'Tape _ of _', 534, 440, 711, 245, 246, 260, 300, 500, 506, 508, 511, 520, 653, 655, 845 and 'Rights Holder Information'.","Media source original:$e1 videocassette (Mini DV) : digital sd., col.; dimensions: 1/4 in.; film brand description: Panasonic MiniDV",,Spectacles of Religiosities,Hemispheric Institute Annual Seminar/Encuentro$n(4th :$d2003 :$cNew York University),60 min.,"Leda Martins Keynote Address: 'Performances of Spiral Time' / $c Leda Martins, creator ; Hemispheric Institute, producer.",Performances of Spiral Time,"$a New York University, New York, United States : $c 2003 July.","NYU TV and Media, videographer ; Zeca Ligiero, introducer.","Leda Martins, keynote speaker.","Video documentation of Leda Martin’s keynote address, ‘Performances of Spiral Time,’ presented as a part of the 4th Encuentro of the Hemispheric Institute of Performance and Politics, celebrated in July of 2003 in New York, United States under the title ‘Spectacles of Religiosities.’ Africa prints her marks, traces and styles on the American territories, inscribing herself on the palimpsests that, by means of countless processes of cognition, assertion and metamorphosis, both conceptual and formal, transcreate and perform her presence and heritage. The arts and cultural creations colored by the African knowledge ostensibly reveal the ingenious and arduous means of survival of the African memory transplanted to the Americas by the diasporic Atlantic slave-trade and by other transcultural and transnational routes. Introduction by Zeca Ligiero.  Leda Martins is Professor of Literature, Arts and Sciences at Universidade Federal de Minas Gerais. A major theorist of Afro-Brazilian religious performance, she has done extensive work on 'congados' and other forms of diasporic worship that participate in the transmission of Afro-Brazilian memory and identity. Her books include: ‘O Moderno Teatro de Corpo Santo’, Editorial UFMG, 1991; ‘A Cena em Sombras’, Editorial Perspectiva, 199",Portuguese,"Martins, Leda | Afro-Brazilian religious performance| Transatlantic slave trade| Hemispheric Institute| Spectacles of Religiosities",,,Hemispheric Institute of Performance and Politics
