"HI_number","Correction_note","Format","Source_Tape_Generation","Mastering Offset Timecode","Run_Time","Series_Title","Meeting_Information","Title","Alternate_Titles","Date_of_Production","Location_Venue","Language","Main_Production_Credits","Additional_Production_Credits","Participants","Performers","Worktypes","Performance_Genres","Summary","Subjects","Rights_Holder","Broadcast_Note","Note_to_Cataloger"
"HI2009.001_01","correcting due to summary/abstract truncation in initial submission.","Media source original: 1 videocassette (VHS) ; dimensions: 1/2 in. SP; film brand description: JVC T-120","original recording",,"02:03:00","Mapa Teatro : Laboratorio de Artistas collection",,"Horacio",,"1993 Dec..","Penitenciaría Central La Picota and Teatro Camarín del Carmen, Bogotá, Colombia","Spanish","Mapa Teatro, Inmates of Penitenciaría Central La Picota, creator ; Mapa Teatro, producer ; Heidi Abderhalden Cortés, director.","Heiner Müller, author ; Sergio Mesa, music consultant ; Elizabeth Abderhalden, costume designer ; Daniel Demont, lighting designer.",,"Rolf Abderhalden, Jaime Acevedo Mesa, performer ; Nelson Acosta Izquierdo, Edilberto Delgado Quintero, performer ; César Estupiñán, Omar Gaviria Roa, performer ; Luis Hernando Jaramillo, Iván Darío Londoño, performer ; Rodrigo Nieto Tejedor, performer.","Performance","Theater|Experimental|Prison theater","Video documentation Mapa Teatro's production of Heiner Müller's ""Horacio,"" created with prison inmates of La Picota central penitentiary in Bogotá.  This video includes takes form the rehearsal process with the prisoners at La Picota. Rehearsal was interrupted by authorities that peacefully requested that the group leave the stage location. Camera follows the group of actors and the director onto the street appearing to be unintentionally recording the activities with few prolonged and established shots. The camera obscurely captures this live occurrence of their removal and new found location in a prison yard policed by armed men --friendly banter between the actors and police, large vehicles move in and out of the yard, footage of chained barred fence with groups of uniformed and armed police milling about on both sides as actors board a bus that pulls up inside the yard. Camera follows the group of actors and director from the prison yard by bus to the Camarín del Carmen theater and through pre-show warm-ups, ensemble and personal interviews with the actors. The production is staged in the context of the International Human Rights Day. The play begins 3/4 through the tape. Under a large spotlight on a sparse stage with rope, wire and flowers hanging from the ceiling, the play experiments with the representation of an enclosed space. The project demonstrates the work of the actors' imagination of both mental and physical space as they enact their role through movements, gestures and the manipulation of objects. The video ends approximately 15 minutes into the performance. One of the foremost artistic companies in Colombia, Mapa Teatro (www.mapateatro.org <http://www.mapateatro.org> ) has been producing theater, performance and art installation projects since 1984. Founders and directors, Rolf and Heidi Abderhalden have created a wide ranging repertoire of theater, opera, mixed-media performance, and site-specific installation. Their work proposes richly textured visual metaphors in which they consider often complex psychological, social and political relationships. Committed to experimentation, and less interested in the actor as an ‘agent of fiction,’ they describe their project as ‘a laboratory of social imagination,’ that offers a space for presenting community issues and human concerns in media and performance. This combination of real-life situations and sites along with highly stylized aesthetic staging produces a tension between real action and (re)presentation. Mapa Teatro draws from live events captured on video such as the demolition of a neighborhood in Bogotá, ritual practice, and texts that explore the relationship of postmodern subjects, myth and metaphor. Mapa Teatro has performed by commissions, festivals and collaborative projects world-wide.","Mapa Teatro|Columbia|Theater|Prison theater|Müller, Heiner, 1929-1995|Human rights","Mapa Teatro Laboratorio de Artistas",,"Re: Topical Subject Keywords here used-"
"HI2009.002_01","fixed spacing, added some commas, changed ""the possibility to explore...and revitalize"" to ""the possibility of exploring...and revitalizing"", cut ""applying make-up to their faces and skin"" and left simply ""applying make-up in the background.""","Media source original: 1 videocassette (VHS) ; dimensions: 1/2 in. SP; film brand description: Sony T-120","original recording",,"01:34:00","Mapa Teatro : Laboratorio de Artistas collection",,"Un señor muy viejo con unas alas enormes",,"1996 Apr..","V Festival Iberoamericano de Teatro, Bogotá, Colombia","Spanish and Tamil","Purisai Duraisami Kannappa Thambiran Parambarai Theru Koothu Manram, Mapa Teatro, creator ; Purisai Duraisami Kannappa Thambiran Parambarai Theru Koothu Manram, Mapa Teatro, producer ; Kannappa Sambandan, Heidi Abderhalden, Rolf Abderhalden, director ; Kannappa Thambiran, music director ; Gabriel García Márquez, based on homonymous text.","Kannapa Thambiran, Nathesan Muthuswamy, dramaturgy ; Gurú Duraysamy Kannappa Tambiran, consultant ; Kannappa Thambiran, Mapa Teatro, set design, props ; Chellaiy Nadar Raveendran, lighting designer ; Kannappa Thambiran, Elizabeth Abderhalden, costume designer.",,"M. Abbai, S. Babu, S. Gopal, K. Kasi, performer ; E. Kuppan, M. Munuswampy, performer ; K. Radhakrishnan, V. Ragharan, performer ; K. Sambandan, M. Sigamani, M. Srinivasan, M. Srivivasan, G. Vedachala, performer.","Performance","Theater|Experimental|Intercultural|Theru Koothu|Street theater","The story of 'Un señor muy viejo con unas alas enormes' by renowned Colombian writer Gabriel García Márquez is here staged in the traditional art of Theru Koothu of Southern India as a collaboration between two companies, Purisai Duraisami Kannappa Thambiran Theru Kothu Manram of Tamil Nadu, and Mapa Teatro of Bogotá, Colombia. The story metaphorically unravels as an intercultural, theatrical and human experience: a man from another world appears one day, fallen from the sky into the backyard of Pelayo, a villager and his wife, Elisenda. The production is, for bothcompanies, an experience of alterity and difference, where an experimental theater from the 'new continent' searches in the traditions of popular theater from the 'thousand-year-old continent,' looking for thriving ritual forms and a 'total language' capable of illuminating the dark paths of contemporary theater, while the ancient epic art of Theru Koothu discovers, in the work of a contemporary playwright and in the gaze of Mapa Teatro's theater, the possibility of exploring new horizons and revitalizing its own tradition. According to Mapa Teatro, the experience revealed 'a post-dramatic theatrical form approaching pre-dramatic forms and vice-versa, creating a dialogue between past and present over the space of the performance itself.' Approx. first 20 min. of this video documentation is dedicated to backstage pre-performance activities, following various actors through parts of their preparation routine in drinking coffee, applying make-up and sitting about a large room together. A brief interview with Heidi and Rolf Abderhalden of Mapa Teatro contextualizes their working relationship, while actors sit behind them applying make-up in the background. The video concludes with two fragments of the performance recorded by two different cameras.","Mapa Teatro|Purisai Duraisami Kannappa Thambiran Theru Kothu Manram (Tamil Nadu)|Garcí́a Márquez, Gabriel, 1928- Señor muy viejo con unas alas enormes|Theater|Columbia|India|Theru Koothu","Mapa Teatro Laboratorio de Artistas",,"Under Performance Genre & under Topical Subject Keywords appears 'Theru Koothu,' which is a form of rural folk theater from the south Indian state of Tamil Nadu.Under Keywords, the names 'Mapa Teatro' and 'Purisai Duraisami Kannappa Thambiran Theru Kothu Manram (Tamil Nadu)' are two theater ensembles, so they should appear, I guess, as"
"HI2009.003_01","NOTES TO CATALOGER:Please move the credits currently under 'Participants' to their correct place, under 'Additional creation/production credits' (there wasn't any space left for me to do it myself).Note again the typo in drop down menu options 'Colombia' and 'Colombian' (it currently reads 'Columbia' and 'Columbian.' Thanks!","Media source original: 1 videocassette (VHS) ; dimensions: 1/2 in. SP; film brand description: Sony T-120","original recording","00:00:20:00","01:28:00","Mapa Teatro : Laboratorio de Artistas collection",,"Medea material","'Medea material (Canto primero / Cantos 9 y 10)' , 'Medea Material I, II, III'","1991 Dec..","Teatro Colón, Bogotá, Colombia","Spanish","Mapa Teatro, creator ; Mapa Teatro, producer ; Heidi Abderhalden, producer ; Rolf Abderhalden, director ; Isauro Pinzón, music director.","Heiner Müller, author ; Rolf Abderhalden, Sergio Mesa, translator ; Lía de Roux de Caceido, Rolf Abderhalden, dramaturgy ; Sergio Mesa, composer ; Elizabeth Abderhalden, costume designer.","Daniel Demont, lighting design ; Ron Abderhalden, set designer ; Daniel Demont, tech director.","Marta Senn (mezzosoprano), protagonist ; Heidi Abderhalden, Adriana Albarracín, performer ; Carlos Caycedo, Harold Moreno, performer ; Julia Pardo, Miguel Ángel Pazos, performer ; Ramiro Sandoval, John Alexander Toro, performer ; Adriana Guevara, Héctor Ramón, musician ; Ludmila Sandoval, Sandra Sichaca, Isauro Pinzón, musician.","Performance","Theater|Experimental|Musical theater|Colombia","Video documentation of Heiner Müller's 'Medea Material,' the firstproduction of the Mapa Teatro's 'Müller cycle.' This musical theaterproduction features Colombian mezzo-soprano Martha Senn as Medea, along with a chamber ensemble formed by members of the Philarmonic Orchestra of Bogotá. Constructed out of huge sheets of wrapped cloth, the figure of Medea towers over her subjects and creators in a classic and surrealistic representation of tragedy, magic and myth. After the documentation of the performance, this video includes close-up shots of the diverse characters, showing details of their make-up, their costumes, and the stage. The aesthetic and visual achievement of this production, as well as its showcase of Colombian musical talent, brought considerable recognition to Mapa Teatro in the first decade of its artistic development. One of theforemost artistic companies in Colombia, Mapa Teatro  (www.mapateatro.org) has been producing theater, performance and art installation projects since 1984. Founders and directors, Rolf and Heidi Abderhalden have created a wide ranging repertoire of theater, opera, mixed-media performance, and site-specific installation. Their work proposes richly textured visual metaphors in which they consider often complex psychological, social and political relationships. Committed to experimentation, and less interested in the actor as an ‘agent of fiction,’ they describe their project as 'a laboratory of social imagination,' that offers a space for presenting community issues and human concerns in media and performance. This combination of real-life situations and sites along with highly stylized aesthetic staging produces a tension between real action and(re)presentation. Mapa Teatro draws from live events captured on video such as the demolition of a neighborhood in Bogotá, ritual practice, and texts that explore the relationship of postmodern subjects, myth and metaphor. Mapa Teatro has performed by commissions, festivals and collaborative projects world-wide.","Mapa Teatro [corp. name]|Theater|Performing arts|Colombia|Müller, Heiner, 1929-1995|Medea (Greek mythology) Drama","Mapa Teatro Laboratorio de Artistas",,"Please move the credits currently under 'Participants' to their correct place, under 'Additional creation/production credits' (there wasn't any space left for me to do it myself).Note again the typo in drop down menu options 'Colombia' and 'Colombian' (it currently reads 'Columbia' and 'Columbian.' Thanks!HI Episode Submission:"
"HI2009.004_01","Finalized.","Media source original: 1 videocassette (VHS) ; dimensions: 1/2 in. SP; film brand description: Sony T-120","original recording","00:01:25:00","00:16:00","Mapa Teatro : Laboratorio de Artistas collection",,"De Mortibus, Réquiem para Samuel Beckett","'De Mortibus. Réquiem para Samuel Beckett (fragmentos)'",1990,"Bogotá, Colombia","Spanish","Mapa Teatro, creator ; Mapa Teatro, producer ; Heidi Abderhalden, Rolf Abderhalden, director ; Samuel Beckett, based on texts by ; Arvo Pärt, music.","Sergio Mesa, musical consultant ; Adriana Urrea, literary consultant ; Heidi Abderhalden, Rolf Abderhalden, set design, props ; Heidi Abderhalden, Rolf Abderhalden, costume designer ; Daniel Demont, lighting designer.",,"Heidi Abderhalden, Rolf Abderhalden, performer ; Carlos Caicedo, Ramiro Sandoval, performer.","Performance","Theater|Experimental|Colombia","Video documentation of a fragment of Mapa Teatro's production 'DeMortibus, Réquiem para Beckett.' Between 1988 and 1990, Heidi and RolfAbderhalden embarked on an in-depth research process on the literary worksof Samuel Beckett. Three months before his death, Beckett gave his approvalfor this production, which premiered in Bogotá in 1990 to critical acclaim.In 'De Mortibus,' the walls are painted white, actors are dressed in grayand nobody speaks --as if it were a world of paralysis. Actors work in almosttotal silence, forming sculptures that embody emotional statessuch as sadness, rage, indifference, and uncertainty. Mapa Teatro's productionassigns each gesture, object, color, position, sound, and word a specificintention: to communicate and produce sensations, to invite a reaction, andto provoke an experience by which the limits of communication are(re)established. One of the foremost artistic companies in Colombia, MapaTeatro (www.mapateatro.org) has been producing theater, performance and artinstallation projects since 1984. Founders and directors, Rolf and HeidiAbderhalden have created a wide ranging repertoire of theater, opera,mixed-media performance, and site-specific installation. Their workproposes richly textured visual metaphors in which they consider oftencomplex psychological, social and political relationships. Committed toexperimentation, and less interested in the actor as an 'agent offiction,' they describe their project as 'a laboratory of socialimagination,' that offers a space for presenting community issues and humanconcerns in media and performance. This combination of real-life situationsand sites along with highly stylized aesthetic staging produces a tensionbetween real action and (re)presentation. Mapa Teatro draws from liveevents captured on video such as the demolition of a neighborhood inBogotá, ritual practice, and texts that explore the relationship ofpostmodern subjects, myth and metaphor. Mapa Teatro has performed bycommissions, festivals and collaborative projects world-wide.","Mapa Teatro [corp. name]|Theater|Performing arts|Colombia|Beckett, Samuel, 1906-1989|Requiems","Mapa Teatro Laboratorio de Artistas",,"Note again the typo in drop down menu options 'Colombia' and 'Colombian' (it currently reads 'Columbia' and 'Columbian.' Thanks!"
"HI2009.005_01","spaces, commas","Media source original: 2 videocassette (Mini DV) ; dimensions: 1/4 in. SP; film brand description: Sony DVM60","original recording","00:00:00:00","01:01:00","Mapa Teatro : Laboratorio de Artistas collection",,"Ricardo III","Richard III","2003 May.","X Festival de Théâtre des Amériques, Montreal, Canada","Spanish","Mapa Teatro, creator ; Mapa Teatro, producer ; Heidi Abderhalden Cortés, director ; Rolf Abderhalden Cortés, co-director ; William Shakespeare, based on the play by.","Heidi Abderhalden Cortés, Rolf Abderhalden Cortés, translator ; Heidi Abderhalden Cortés, dramaturgy ; Rolf Abderhalden Cortés, visual design ; Santiago Zuluaga, music ; Christian Probst, set design, props.","Jean-François Dubois, lighting design ; Elizabeth Abderhalden Cortés, costumes.","Rolf Abderhalden, Julián Díaz, Blas Jaramillo, performer ; Walther Luengas, Mauricio Navas, performer ; Pedro Miguel Rozo, José Ignacio Rincón, performer.","Performance","Theater|Experimental|Columbia","Based on William Shakespeare’s 'Richard III,' this production explores and unveils the complex mechanisms of human violence, the abuse of power, and the seed of evil that has historically grown in human societies, with its own particular local characteristics, but recognizable as a resilient universal human trait. In times of political conflict, human evil unravels power plays that had led to violence and genocide, all enacted in cold blood. Mapa Teatro stages their version of the classic Shakespearean play, in an attempt to confront and question the spirit of war and violence in their native Colombia. One of the foremost artistic companies in Colombia, Mapa Teatro (www.mapateatro.org) has been producing theater, performanceand art installation projects since 1984. Founders and directors,  Rolf and Heidi Abderhalden have created a wide ranging repertoire of theater, opera, mixed-media performance, and site-specific installation. Their work proposes richly textured visual metaphors in which they consider often complex psychological, social and political relationships. Committed to experimentation, and less interested in the actor as an 'agent of fiction,' they describe their project as 'a laboratory of social imagination' that offers a space for presenting community issues and human concerns in media and performance. This combination of real-life situations and sites along with highly stylized aesthetic staging produces a tension between real action and (re)presentation. Mapa Teatro draws from live events captured onvideo such as the demolition of a neighborhood in Bogotá, ritual practice, and texts that explore the relationship of postmodern subjects, myth and metaphor. Mapa Teatro has performed by commissions, festivals and collaborative projects world-wide.","Mapa Teatro [corp. name]|Theater|Performing arts|Columbia|Shakespeare, William, 1564-1616. Richard III|Political violence","Mapa Teatro Laboratorio de Artistas",,"Please add credits currently under 'Participants' to their correct place, 'Additional creation/production credit(s)' (problems of space!).Note again the typo in drop down menu options 'Colombia' and 'Colombian' (it currently reads 'Columbia' and 'Columbian.' Thanks!"
"HI2009.006_01","commas, spaces","Media source original: 2 videocassette (Mini DV) ; dimensions: 1/4 in. SP; film brand description: Sony DVM60","original recording","00:00:00:00","00:26:00","Mapa Teatro : Laboratorio de Artistas collection",,"Ricardo III","Richard III","2003 May.","X Festival de Théâtre des Amériques, Montreal, Canada","Spanish","Mapa Teatro, creator ; Mapa Teatro, producer ; Heidi Abderhalden Cortés, director ; Rolf Abderhalden Cortés, co-director ; William Shakespeare, based on the play by.","Heidi Abderhalden Cortés, Rolf Abderhalden Cortés, translator ; Heidi Abderhalden Cortés, dramaturgy ; Rolf Abderhalden Cortés, visual design ; Santiago Zuluaga, music ; Christian Probst, set design, props.","Jean-François Dubois, lighting design ; Elizabeth Abderhalden Cortés, costumes.","Rolf Abderhalden, Julián Díaz, Blas Jaramillo, performer ; Walther Luengas, Mauricio Navas, performer ; Pedro Miguel Rozo, José Ignacio Rincón, performer.","Performance","Theater|Experimental|Colombia","Based on William Shakespeare’s 'Richard III,' this production explores and unveils the complex mechanisms of human violence, the abuse of power and the seed of evil that has historically grown in human societies, with its own particular local characteristics, but recognizable as a resilient universal human trait. In times of political conflict, human evil unravels power plays that had led to violence and genocide, all enacted in cold blood. Mapa Teatro stages their version of the classic Shakespearean play, in an attempt to confront and question the spirit of war and violence in their native Colombia. One of the foremost artistic companies in Colombia,Mapa Teatro (www.mapateatro.org) has been producing theater, performance and art installation projects since 1984. Founders and directors, Rolf and Heidi Abderhalden have created a wide ranging repertoire of theater, opera, mixed-media performance, and site-specific installation. Their work proposes richly textured visual metaphors in which they consider often complex psychological, social and political relationships. Committed to experimentation, and less interested in the actor as an 'agent of fiction,' they describe their project as 'a laboratory of social imagination' that offers a space for presenting community issues and human concerns in mediaand performance. This combination of real-life situations and sites along with highly stylized aesthetic staging produces a tension between real action and (re)presentation. Mapa Teatro draws from live events captured on video such as the demolition of a neighborhood in Bogotá, ritual practice, and texts that explore the relationship of postmodern subjects, myth and metaphor. Mapa Teatro has performed by commissions, festivals and collaborative projects world-wide.","Mapa Teatro [corp. name]|Theater|Performing arts|Colombia|Shakespeare, William, 1564-1616. Richard III|Political violence","Mapa Teatro Laboratorio de Artistas",,"Please add credits currently under 'Participants' to their correct place, 'Additional creation/production credit(s)' (problems of space!).Note again the typo in drop down menu options 'Colombia' and 'Colombian' (it currently reads 'Columbia' and 'Columbian.' Thanks!"
"HI2009.007_01","spaces, commas","Media source original: 1 videocassette (Mini DV) ; dimensions: 1/4 in. SP","original recording",,"00:13:00","other",,"Interview with Richard Schechner:",,"2001 Nov. 27.","New York, New York, Unites States","English","Hemispheric Institute of Performance and Politics, producer.",,"Richard Schechner, interviewee ; Diana Taylor, interviewer.",,"Interview",,"Interview with Richard Schechner, conducted by Diana Taylor, founding director of the Hemispheric Institute of Performance and Politics. This interview is a part of a series curated by the Hemispheric Institute, articulated around the question 'What is Performance Studies?' The series aims to provide a multifaceted approach to the often difficult task of defining the coordinates of both a field of academic study as well as a lens through which to assess and document cultural practice and embodied behavior. The contingent definitions documented in this series are based onthe groundbreaking experiences and the scholarly endeavors of renownedfigures in contemporary performance studies and practice.Richard Schechner is a theater director, performance theorist anduniversity professor known for being one of the founders of the academic discipline of Performance Studies at Tisch School of the Arts, New York University. Schechner combines his work in anthropology with innovative approaches to performance of all kinds, including ritual, drama, environmental theater, political rallies, dance, music, etc. in order to consider how performance can be understood not just as an object of study, but also as an active intellectual-artistic practice. He is the editor of TDR: The Journal of Performance Studies. His books include 'EnvironmentalTheater,' 'The Future of Ritual,' 'Performance Theory,' 'Between Theater and Anthropology,' 'Performance Studies: An Introduction,' and ‘Over, Under, and Around.’ Currently he is working on two books: ‘Ramlila of Ramnagar’ and ‘After the Avantgarde.’ As of 2008, his books have been translated into 14 languages. Schechner has been a National Endowment for the Humanities senior research fellow, a Smithsonian Institution research fellow, a Fulbright senior research fellow and a Guggenheim fellow, among other honors. He is also renowned for founding The Performance Group, and is currently the artistic director of East Coast Artists. He has directedplays, lectured, and conducted performance workshops in Asia, South Africa, Latin America, and Europe. Schechner is an honorary professor of the Shanghai Theatre Academy where he leads the Richard SchechnerCenter.","Performance Studies|Schechner, Richard","Hemispheric Institute of Performance and Politics",,"Hi Heidi, I don't have the"
"HI2009.008_01","final sentence was incomplete; spaces and commas; DT ""founding director""","Media source original: 1 videocassette (Mini DV) ; dimensions: 1/4 in. SP","original recording",,"00:08:00","other",,"Interview with Barbara Kirshenblatt-Gimblett:",,"2001 Dec. 19.","New York, New York, Unites States","English","Hemispheric Institute of Performance and Politics, producer.",,"Barbara Kirshenblatt-Gimblett, interviewee ; Diana Taylor, interviewer.",,"Interview",,"Interview with Barbara Kirshenblatt-Gimblett, conducted by Diana Taylor, founding director of the Hemispheric Institute of Performance and Politics. This interview is a part of a series curated by the Hemispheric Institute, articulated around the question 'What is Performance Studies?' The series aims to provide a multifaceted approach to the often difficult task of defining the coordinates of both a field of academic study as well as a lens through which to assess and document cultural practice and embodied behavior. The contingent definitions documented in this series are based on the groundbreaking experiences and the scholarly endeavors of renowned figures in contemporary performance studies and practice.Barbara Kirshenblatt-Gimblett is Professor of Performance Studies at New York University, where she is also Affiliated Professor of Hebrew and Judaic Studies. Dr. Kirshenblatt-Gimblett researches performance practice and has published on klezmer music and other topics of Jewish culture, as well as general American culture, aesthetics of everyday life, cookery and performance, ethnography, world's fairs, museum, theater and tourist productions. Her many awards include the Guggenheim Fellowship, Getty Research Institute fellowship, Winston Fellowship at the Institute for Advanced Studies at the Hebrew University, and resident research fellowship at the Center for Advanced Judaic Studies at the University of Pennsylvania. She was designated Distinguished Humanist for 2003 by the Melton Center for Jewish Studies at Ohio State University. She is currently co-convening the Working Group on Jews, Religion, and Media at New York University’s Center for Religion and Media, New York University, with Jeffrey Shandler, and the Jews and Performance colloquium, jointly sponsored by the Jewish Theological Seminary and New York University, with Edna Nahshon.","Performance Studies|Kirshenblatt-Gimblett, Barbara","Hemispheric Institute of Performance and Politics",,"Hi Heidi, I don't have the"
"HI2009.009_01","updated bio","Media source original: 1 videocassette (Mini DV) ; dimensions: 1/4 in. SP","original recording",,"00:07:00","other",,"Interview with José Muñoz: 'What is Performance Studies?'",,"2002 Oct..","New York, New York, Unites States","English","Hemispheric Institute of Performance and Politics, producer.",,"José Muñoz, interviewee ; Diana Taylor, interviewer.",,"Interview",,"Interview with José Muñoz, conducted by Diana Taylor, founding director of the Hemispheric Institute of Performance and Politics. This interview is a part of a series curated by the Hemispheric Institute, articulated around the question 'What is Performance Studies?' The series aims to provide a multifaceted approach to the often difficult task of defining the coordinates of both a field of academic study as well as a lens through which to assess and document cultural practice and embodied behavior. The contingent definitions documented in this series are based on the groundbreaking experiences and the scholarly endeavors of renowned figures in contemporary performance studies and practice.José Esteban Muñoz (born 1967) is an American theorist in the fields of Performance Studies, visual culture, queer theory, cultural studies, and critical theory. He received his undergraduate education at Sarah Lawrence College and his doctorate from the Graduate Program in Literature at Duke University, where he studied under the tutelage of queer theorist Eve Kosofsky Sedgwick. He has written about important artists, performers, and cultural figures including Vaginal Davis, Nao Bustamante, Carmelita Tropicana, Isaac Julien, Kevin Aviance, James Schuyler, and Andy Warhol. His book Disidentifications: Queers of Color and the Performance of Politics (1999) is a foundational text in queer of color critique, and amajor contribution to minority scholarship in the field of PerformanceStudies. He has also co-edited Pop Out: Queer Warhol (1996) with Jennifer Doyle and Jonathan Flatley and Everynight Life: Culture and Dance in Latin/o America (1997) with Celeste Fraser Delgado. His most recent book, Cruising Utopia, was published in Fall 2009 by NYU Press. He is currently completing another book manuscript, Feeling Brown: Ethnicity, Affect, and Performance, which is forthcoming from Duke University.","Performance Studies|Muñoz, José Esteban","Hemispheric Institute of Performance and Politics",,"Hi Heidi, I don't have the 'Film Brand Description' for the tapes of this series with me at the moment, but I'll send them to you as a separate email later today, with each corresponding HI number paired up with its appropriate brand name and model. Thanks!"
"HI2009.010_01","Finalized.","Panasonic DVC60 ; Media source original: 1 videocassette (Mini DV) ; dimensions: 1/4 in. SP","original recording",,"00:08:00",,,"Interview with André Lepecki: 'What is Performance Studies?'",,"2002 Oct. 1.","New York, New York, United States","English","Hemispheric Institute of Performance and Politics, producer.",,"André Lepecki, interviewee ; Diana Taylor, interviewer.",,"Interview",,"Interview with André Lepecki, conducted by Diana Taylor, director andfounder of the Hemispheric Institute of Performance and Politics. Thisinterview is a part of a series curated by the Hemispheric Institute,articulated around the question 'What is Performance Studies?' The seriesaims to provide a multifaceted approach to the often difficult task ofdefining the coordinates of both a field of academic study as well as alens through which to assess and document cultural practice and embodiedbehavior. The contingent definitions documented in this series are based onthe groundbreaking experiences and the scholarly endeavors of renownedfigures in contemporary performance studies and practice. André Lepecki(1965) is a curator, dramaturg, writer, and co-creator based in New Yorkcity. Currently he is Associate Professor in Performance Studies at NewYork University where he teaches courses on critical theory, continentalphilosophy, performance studies, dance studies, and experimentaldramaturgy. He graduated in cultural anthropology at the New University ofLisbon and obtained his Masters and Doctoral degrees in Performance Studiesat NYU. In the 1980s he was dramaturg for choreographers Vera Mantero andJoão Fiadeiro; in the 1990s, for Meg Stuart and Damaged Goods. Heco-directed with Bruce Mau the video-installation STRESS (Wien, 2000) and,with Rachael Swain, the video-installation proXy (Sydney, 2003). WithEleonora Fabião he co-created the performance series Wording (2004-6). Heis currently curating and directing a remaking of Allan Kaprow’s 18Happenings in 6 Acts, for Haus der Kunst, Munich. He has curated events forHaus der Kulturen der Welt (Berlin), and Tanz in August (Berlin). He haslectured at Leuven University, Brown University, Tate Modern, TanzQuartier,World Cultural Forum, among other venues in Europe, the US, Australia, andBrazil. He contributes regularly for several art publications in the US,Brazil, and Europe, including The Drama Review, Art Forum, PerformanceResearch, Contact Quarterly, Theaterschrift, Nouvelles de Danse, amongothers. He is member of the editorial boards of Dance Theatre Journal,e-mispherica, and Performance Research. He is editor of the anthologies Ofthe Presence of the Body (2004) and The Senses in Performance (with SallyBanes, 2006). He is the author of Exhausting Dance: performance and thepolitics of movement (2006).","Performance Studies|Lepecki, André","Hemispheric Institute of Performance and Politics",,
