NOID,Copyright Status,DMD Status,Digitized Status,Cataloged Status,Publication Status - Stage,Publication Status - Production,HI #,Copyright Holder,Title,Collection,Run-time (pre-publication estimate),Run-time (post-publication),Publication Cycle,Jira Ticket,Date DMD Finalized,Aleph BSN,OCLC Number,Date Cataloging Finalized,Date Converted to MODS and Staged for Publication,Date Published to Stage,"7. STAGEweb Link
DLTS (David A)",Date Reviewed on Stage,Notes for Stage version,Date Published to Production,"9. PRODUCTIONweb Link
DLTS (David A)",Notes,Local save file number,Name Authorities
d51c5j77,checked,1 checked out of 1,,,,,HI2020_135_01,Pedro Bennaton,Geografia Inutil...,ERRO Grupo,1:09:44.00,,2020-10 October,,,,,,,,,,,,,,,
ns1rnh3g,checked,1 checked out of 1,checked,,,,HI2019_034_01,Deborah Castillo,Parricidio,Deborah Castillo Collection,7:03.00,,2020-06 June,,,,,,,,,,,,,,,
6hdr811b,checked,1 checked out of 1,checked,,,,HI2019_035_01,Deborah Castillo,Lickzuela,Deborah Castillo Collection,1:50.00,,2020-06 June,,,,,,,,,,,,,,,
rjdfn9bf,checked,1 checked out of 1,checked,,,,HI2019_036_01,Deborah Castillo,El secuestro de la ministra de cultura,Deborah Castillo Collection,1:42.00,,2020-06 June,,,,,,,,,,,,,,,
hqbzkqd1,checked,1 checked out of 1,checked,,,,HI2019_037_01,Deborah Castillo,Mona,Deborah Castillo Collection,1:00.00,,2020-06 June,,,,,,,,,,,,,,,
qrfj6xj8,checked,1 checked out of 1,checked,,,,HI2019_038_01,Deborah Castillo,La Supersudaca,Deborah Castillo Collection,1:47.00,,2020-06 June,,,,,,,,,,,,,,,
z8w9gr9k,checked,1 checked out of 1,checked,,,,HI2019_039_01,Deborah Castillo,Slapping Power,Deborah Castillo Collection,3:49.00,,2020-06 June,,,,,,,,,,,,,,,
c59zwb2j,checked,1 checked out of 1,checked,,,,HI2019_040_01,Deborah Castillo,Theoretical Fetish,Deborah Castillo Collection,3:08.00,,2020-06 June,,,,,,,,,,,,,,,
pnvx0smd,checked,1 checked out of 1,checked,,,,HI2019_041_01,Deborah Castillo,Demagogue,Deborah Castillo Collection,1:24.00,,2020-06 June,,,,,,,,,,,,,,,
h44j1612,checked,1 checked out of 1,checked,,,,HI2019_042_01,Deborah Castillo,Free Speech,Deborah Castillo Collection,5:22.00,,2020-06 June,,,,,,,,,,,,,,,
b5mkm3vn,checked,1 checked out of 1,checked,,,,HI2019_043_01,Deborah Castillo,The Dictatrix,Deborah Castillo Collection,4:11.00,,2020-06 June,,,,,,,,,,,,,,,
0zpc8dh0,checked,1 checked out of 1,checked,,,,HI2019_044_01,Deborah Castillo,Sigo siendo el rey,Deborah Castillo Collection,1:00.00,,2020-06 June,,,,,,,,,,,,,,,
2280gjfw,checked,1 checked out of 1,checked,,,,HI2019_045_01,Deborah Castillo,Marx Palimpsesto,Deborah Castillo Collection,3:59.00,,2020-06 June,,,,,,,,,,,,,,,
gtht7dvq,checked,1 checked out of 1,checked,,,,HI2019_046_01,Deborah Castillo,Profoundly Your$,Deborah Castillo Collection,2:05.00,,2020-06 June,,,,,,,,,,,,,,,
02v6x3zk,checked,1 checked out of 1,checked,,,,HI2019_047_01,Deborah Castillo,Emancipatory Kiss,Deborah Castillo Collection,1:06.00,,2020-06 June,,,,,,,,,,,,,,,
r7sqvj5b,checked,1 checked out of 1,checked,,,,HI2019_048_01,Deborah Castillo,Himn,Deborah Castillo Collection,0:33.00,,2020-06 June,,,,,,,,,,,,,,,
98sf7tbm,checked,1 checked out of 1,checked,,,,HI2019_049_01,Deborah Castillo,Unmentionable,Deborah Castillo Collection,3:19.00,,2020-06 June,,,,,,,,,,,,,,,
d2547mn4,checked,1 checked out of 1,checked,,,,HI2019_050_01,Deborah Castillo,The Fraternal Socialist Kiss,Deborah Castillo Collection,1:55.00,,2020-06 June,,,,,,,,,,,,,,,
k0p2nprn,checked,1 checked out of 1,checked,,,,HI2019_051_01,Deborah Castillo,Sisifo,Deborah Castillo Collection,3:05.00,,2020-06 June,,,,,,,,,,,,,,,
7d7wm9kf,checked,1 checked out of 1,checked,,,,HI2020_113_01,Alicia Grullón,The Rule is Love #4 (with gaze and no object),Alicia Grullón,6:21.00,,2020-06 June,,,,,,,,,,,,,,,
4j0zpjjq,checked,1 checked out of 1,checked,,,,HI2020_114_01,Alicia Grullón,Filibuster #1 (Wendy Davis),Alicia Grullón,9:51:45.00,,2020-06 June,,,,,,,,,,,,,,,
w0vt4jpm,checked,1 checked out of 1,checked,,,,HI2020_115_01,Alicia Grullón,Filibuster #2 (Bernie Sanders),Alicia Grullón,5:44:24.00,,2020-06 June,,,,,,,,,,,,,,,
hqbzkpck,checked,1 checked out of 1,checked,,,,HI2020_116_01,Alicia Grullón,From Market To...,Alicia Grullón,11:37.00,,2020-06 June,,,,,,,,,,,,,,,
s7h44qd9,checked,1 checked out of 1,,,,,HI2020_117_01,Alicia Grullón,The Residential is Political,Alicia Grullón,,,2020-06 June,,,,,,,,,,,,,,,
fxpnw4cz,checked,1 checked out of 1,checked,,,,HI2020_001_01,Sara Reisman,Latasha N. Nevada Diggs - Disappearing Acts,The Shelley & Donald Rubin Foundation at The 8th Floor,43:25.00,,2020-06 June,,,,,,,,,,,,,,,
