HI_number,﻿NOID,Cataloged Status,Publication Cycle,Correction_note,Format,Source_Tape_Generation,Mastering Offset Timecode,Run_Time,Series_Title,Meeting_Information,Title,Alternate_Titles,Date_of_Production,Location_Venue,Language,Main_Production_Credits,Additional_Production_Credits,Participants,Performers,Worktypes,Performance_Genres,Summary,Subjects,Rights_Holder,Broadcast_Note,Note_to_Cataloger,Pattern
HI2018.057_01,vmcvdz38,,2020-08 August,Updated Run time; Performers; Summary; Subjects,Media source original: 1 videocassette (VHS) ; dimensions: 1/2 in. SP,original recording,,01:40:04;00,Billionaires for Bush Collection,,Billionaires for Bush (or Gore),,2000 July 30.,"Philadelphia, Pennsylvania, USA",English,,"Erick Stenflo, videographer.",,"Andrew Boyd, performer. Billy O'Naire, Milly O'Naire, Mike Rosoft, Phil T. Rich, perfomer.",Performance,Protest performance|Political|Street performance|Street intervention,"[SUMMARY]Billionaires for Bush (or Gore) is a street performance protest staged at thePhiladelphia Republican National Convention in 2000. Largely seen as""Culture jamming political theater"" according to Wikipedia, Billionairesfor Bush satirically marched in favor of the convention with slogans such as,""Corporations are people too,"" ""This is what plutocracy looks like,"" and""Who's street? Wall Street!""Mike Rosoft gives an interview to the media about the group's corebeliefs. Reverend Billy's sermon for the overpriveleged minority follows.Phil T. Rich reminds viewers that ""Inequality hasn't been growing fastenough."" Milly O'Naire then concludes with her rendition of the BillionaireBlues. Footage of the parade and march in downtown Philadelphia is next,with a float shaped like a giant wrestling ring featuring a presidentialsmackdown. Nixon and Reagan wave to the adoring public while straddlingweapons of mass destruction and guzzling oil from Occidental Petrol spoutscoming out of the corner turnbuckles. [BIO] Billionaires for Bush is agrassroots network of corporate lobbyists, decadent heiresses, HalliburtonCEOs, and other winners under George W. Bush's economic policies.Headquartered on Wall Street, and with over 60 chapters nationwide,Billionaires for Bush worked tirelessly to ensure the success of Bush-erapolicies that put profits over people.","United States|Economic aspects|Tax legislation|Bush, George W. (George Walker), 1946|Satire|Religious aspects",Andrew Boyd,,,2
HI2018.058_01,qv9s4xjp,,2020-08 August,Updated: Date of production; Language; Summary and Bio; Subjects,Media source original: 1 videocassette (Mini DV) ; dimensions: 1/4 in. SP,original recording,,0:06:36;00,Billionaires for Bush Collection,,"Insider Stock Tips: Goodbye Iraq, Good Buy Iran","Billionaires for Bush Big Business Minute, INN News",2005 Aug. 26.,"New York, NY, USA",English,"INN, producer ; Billionaires for Bush, producer ; Marco Ceglie, writer ; Melody Bates, writer.","Roland Marconi, editor.",,"Melody Bates, Marco Ceglie, Brian Fairbanks, Shilpa Narayan, performer ; Mark Silverman, Dave Bennett, performer.",Performance,Satire|News segment,"[SUMMARY] In this ""Insider Stock Tips"" (2005) segment from INN News, IvyLeague-Legacy and Monet Oliver DePlace offer billionaires war profiteeringtips to help them make the most of their portfolios. This segment alsofeatures a surprise call from Dick Cheney, who spills the beans on the Bushadministration's plan to strike it rich in the arms race in the MiddleEast. [BIO]Billionaires for Bush is a grassroots network of corporate lobbyists, decadent heiresses, Halliburton CEOs, and other winners under George W. Bush's economic policies. Headquartered on Wall Street, and with over 60 chapters nationwide, Billionaires for Bush worked tirelessly to ensure the success of Bush-era policies that put profits over people. billionairesforbush.com","United States|Iraq War, 2003-2011|Haliburton & Company|Bush, George W. (George Walker), 1946|Insider Trading|Sanctions (Law)--Iran|Nuclear weapons--Middle East",Andrew Boyd,,,2
HI2018.059_01,m37pvx1f,,2020-08 August,Updated: Subjects,Media source original: 1 videocassette (Mini DV) ; dimensions: 1/4 in. SP,original recording,,0:05:42;00,Billionaires for Bush Collection,,"Tax Cuts Create Jobs, Honest!","Billionaires for Bush Big Business Minute, INN News",2005 Dec. 6.,"New York City, New York, USA",English,"Billionaires for Bush, producer ; I.N.N., producer ; Marco Ceglie, writer ; Melody Bates, writer.","Roland Marconi, editor.",,"Melody Bates, Marco Ceglie, Brian Fairbanks, Shilpa Narayan, Mark Silverman, Dave Bennett, performer.",Performance,Satire|News segment,"[SUMMARY] Ivy League-Legacy anchors the first show of the second BigBusiness Minute season, and Senior Tax Shift Specialist Monet OliverDePlace takes time out from a session with his tailor to talk about Bush'sextended tax cuts for the super-rich, and to dish the gossip on federalindictments. With conservative politicians like Scooter Libby, Bill Frist,Tom DeLay, Stephen Fabian, Jack Abramoff, and Randy Cunningham all facingjail time, up-and coming lobbyists have to fight for their fair share ofnotoriety. [BIO]Billionaires for Bush is a grassroots network of corporatelobbyists, decadent heiresses, Halliburton CEOs, and other winners underGeorge W. Bush's economic policies. Headquartered on Wall Street, and withover 60 chapters nationwide, Billionaires for Bush worked tirelessly toensure the success of Bush-era policies that put profits overpeople.","United States|Lobbyists|Money laundering|Bribery--United States--Congress|Tax legislation|Bush, George W. (George Walker), 1946|Social welfare--economics--United States",Andrew Boyd,,,2
HI2018.060_01,gf1vht8d,,2020-08 August,Updated: Performers; Subjects,Media source original: 1 videocassette (Mini DV) ; dimensions: 1/4 in. SP,original recording,,0:04:57;00,Billionaires for Bush Collection,,"Wal-Mart: Wealthcare, Not Healthcare","Billionaires for Bush Big Business Minute, INN News",2005 May 27.,"New York City, New York, USA",English,"Billionaires for Bush, producer ; I.N.N., producer ; Marco Ceglie, writer ; Melody Bates, writer.","Roland Marconi, editor.",,"Melody Bates, Marco Ceglie, Brian Fairbanks, Shilpa Narayan, performer. Mark Silverman, Dave Bennett, performer.",Performance,Satire|News segment,"[SUMMARY]Monet Oliver DePlace mans the anchor desk as Ivy League-Legacytravels to Arkansas for a visit to the corporate headquarters of America'sfavorite mom-and-pop store, Wal-Mart. There he reports on recent victoriesin the corporate elite's battle to avoid paying for their employees'healthcare. [BIO]Billionaires for Bush is a grassroots network of corporatelobbyists, decadent heiresses, Halliburton CEOs, and other winners underGeorge W. Bush's economic policies. Headquartered on Wall Street, and withover 60 chapters nationwide, Billionaires for Bush worked tirelessly toensure the success of Bush-era policies that put profits overpeople.","United States|Healthcare industry|Wal-Mart (firm)|Medicaid|Bush, George W. (George Walker), 1946|Minimum wage|Tax legislation",Andrew Boyd,,,2
HI2018.061_01,bnzs7ss7,,2020-08 August,Updated: Summary; Subjects,Media source original: 1 videocassette (Mini DV) ; dimensions: 1/4 in. SP,original recording,,0:07:22;00,Billionaires for Bush Collection,,Billionaires Unveil New Progressive Policy Alert System,"Billionaires for Bush Big Business Minute, INN News",2005 June 3.,"New York City, New York, USA",English,"Billionaires for Bush, producer ; I.N.N., producer ; Marco Ceglie, writer ; Melody Bates, writer.","Roland Marconi, editor.",,"Melody Bates, Marco Ceglie, Brian Fairbanks, Shilpa Narayan, Mark Silverman, Dave Bennett, performer.",Performance,Satire|News segment,"[SUMMARY]While Ivy League-Legacy is at the anchor desk, Monet OliverDePlace reports live from Karl Rove's secret Strategy Room, unveiling a newsystem that will alert conservative politicians to their counterparts'attempts at pushing progressive policies, thus ensuring corporate lackeys inD.C. know exactly how the Billionaires want them to vote. [BIO]Billionairesfor Bush is a grassroots network of corporate lobbyists, decadentheiresses, Halliburton CEOs, and other winners under George W. Bush'seconomic policies. Headquartered on Wall Street, and with over 60 chaptersnationwide, Billionaires for Bush worked tirelessly to ensure the successof Bush-era policies that put profits over people. billionairesforbush.com/","United States|Supreme Court's power in American politics|Workers' rights|Bush, George W. (George Walker), 1946|Environmental remediation technologies, regulations and safety|Social Security 2000-2010",Andrew Boyd,,,2
HI2018.062_01,6wwpzs8z,,2020-08 August,Updated: Run time; Summary; Subjects,Media source original: 1 videocassette (Mini DV) ; dimensions: 1/4 in. SP,original recording,,0:04:09;00,Billionaires for Bush Collection,,Cindy Sheehan: War Takes a Holiday,"Billionaires for Bush Big Business Minute, INN News",2005 Aug. 19.,"New York City, New York, USA",English,"Billionaires for Bush, producer ; I.N.N., producer ; Marco Ceglie, writer ; Melody Bates, writer.","Roland Marconi, editor.",,"Melody Bates, Marco Ceglie, Brian Fairbanks, Shilpa Narayan, Mark Silverman, Dave Bennett, performer.",Performance,Satire|News segment,"[SUMMARY] Monet Oliver DePlace is at the anchor desk as the Big BusinessMinute's glamorous Senior Crawford Correspondent Diva Denz reports live from outside the Bush Ranch in Texas. Denz gives an insider look at how the CEO President is dealing with Cindy Sheehan's vigil. [BIO]Billionaires for Bush is a grassroots network of corporate lobbyists, decadent heiresses, Halliburton CEOs, and other winners under George W. Bush'seconomic policies. Headquartered on Wall Street, and with over 60 chaptersnationwide, Billionaires for Bush worked tirelessly to ensure the successof Bush-era policies that put profits over people. billionairesforbush.com","United States|Anti-war demonstrations|Vigil|Military Cemeteries and funerals|Bush, George W. (George Walker), 1946-|Iraq War 2003-2011",Andrew Boyd,,,2
HI2018.063_01,34tmprsw,,2020-08 August,Updated: Performers; Subjects,Media source original: 1 videocassette (Mini DV) ; dimensions: 1/4 in. SP,original recording,,0:04:29;00,Billionaires for Bush Collection,,Karl Rove is Innocent!,"Billionaires for Bush Big Business Minute, INN News",2005 July 16.,"New York City, New York, USA",English,"Billionaires for Bush, producer ; I.N.N., producer ; Marco Ceglie, writer ; Melody Bates, writer.","Roland Marconi, editor.",,"Melody Bates, Marco Ceglie, Brian Fairbanks, Shilpa Narayan, Mark Silverman, Dave Bennett, performer.",Performance,Satire|News segment,"[SUMMARY]Ivy League-Legacy worries about revelations that Karl Rove was thesource of the Plame leak, but Monet Oliver DePlace is able to calm her downwith a soothing report from the White House. [BIO]Billionaires for Bush isa grassroots network of corporate lobbyists, decadent heiresses,Halliburton CEOs, and other winners under George W. Bush's economicpolicies. Headquartered on Wall Street, and with over 60 chaptersnationwide, Billionaires for Bush worked tirelessly to ensure the successof Bush-era policies that put profits over people. billionairesforbush.com","United States|Covert operations (Espionage)|Iraq War 2003-2011|Weapons of mass destruction|Bush, George W. (George Walker), 1946-|Iraq Central Intelligence Agency (U.S.)|Treason",Andrew Boyd,,,2
HI2018.064_01,zcrjdrdq,,2020-08 August,Updated: Summary; Performance Genres; Subjects;,Media source original: 1 videocassette (Mini DV) ; dimensions: 1/4 in. SP,original recording,,0:04:48;00,Billionaires for Bush Collection,,Halliburton: War and Profit,"Billionaires for Bush Big Business Minute, INN News",2005 Aug. 12.,"New York City, New York, USA",English,"Billionaires for Bush, producer ; I.N.N., producer ; Marco Ceglie, writer ; Melody Bates, writer.","Roland Marconi, editor.",,"Melody Bates, Marco Ceglie, Brian Fairbanks, Shilpa Narayan, Mark Silverman, Dave Bennett, performer.",Performance,Satire|News Segment,"[SUMMARY]Ivy League-Legacy travels to the Middle East for a specialinterview with Dr. DeBooks of Kellogg Brown and Root, who discusses oilcompany Halliburton's massive no-bid contracts in Iraq. [BIO]Billionairesfor Bush is a grassroots network of corporate lobbyists, decadentheiresses, Halliburton CEOs, and other winners under George W. Bush'seconomic policies. Headquartered on Wall Street, and with over 60 chaptersnationwide, Billionaires for Bush worked tirelessly to ensure the successof Bush-era policies that put profits over people. billionairesforbush.com","United States|Halliburton & Company|Iraq War 2003-2011|War contracts|Profiteering--United States|Bush, George W. (George Walker), 1946-",Andrew Boyd,,,2
HI2018.065_01,tmpg4qv4,,2020-08 August,Updated: summary; Performance Genres; Subjects,Media source original: 1 videocassette (Mini DV) ; dimensions: 1/4 in. SP,original recording,,0:06:30;00,Billionaires for Bush Collection,,Katrina Response: War on Weather,"Billionaires for Bush Big Business Minute, INN News",2005 Sept. 16.,"New York City, New York, USA",English,"Billionaires for Bush, producer ; I.N.N., producer ; Marco Ceglie, writer ; Melody Bates, writer.","Roland Marconi, editor.",,"Melody Bates, Marco Ceglie, Brian Fairbanks, Shilpa Narayan, Mark Silverman, Dave Bennett, performer.",Performance,Satire|News Segment,"[SUMMARY] Ivy League-Legacy reports from the home desk while Monet OliverDePlace makes a heart-wrenching pilgrimage...to Senator Trent Lott's destroyed NewOrleans mansion. But thanks to Dick Cheney and former FEMA head turned lobbyist Joe Alba, Haliburton will be at the helm of the Crescent CIty's reconstruction. Expect the Gulf Coast to be under Washington's control by 2010. [BIO]Billionaires for Bush is a grassroots network ofcorporate lobbyists, decadent heiresses, Halliburton CEOs, and otherwinners under George W. Bush's economic policies. Headquartered on WallStreet, and with over 60 chapters nationwide, Billionaires for Bush workedtirelessly to ensure the success of Bush-era policies that put profits overpeople. billionairesforbush.com","United States|Hurricane Katrina (2005)|FEMA|Halliburton & Company|Gulf Coast|Bush, George W. (George Walker), 1946-|Low income housing",Andrew Boyd,,,2
HI2018.066_01,pvmcvqbv,,2020-08 August,Updated:,Media source original: 1 videocassette (Mini DV) ; dimensions: 1/4 in. SP,original recording,,0:07:00;00,Billionaires for Bush Collection,,Big and Easy Money in the Gulf,"Billionaires for Bush Big Business Minute, INN News",2005 Oct. 7.,"New York City, New York, USA",English,"Billionaires for Bush, producer ; I.N.N., producer ; Marco Ceglie, writer ; Melody Bates, writer.","Roland Marconi, editor.",,"Melody Bates, Marco Ceglie, Brian Fairbanks, Shilpa Narayan, Mark Silverman, Dave Bennett, performer.",Performance,Satire|News segment,"[SUMMARY]Is the scandal-ridden Bush Administration being destroyed from within? To Ivy's horror, the American populace demands their government address the paucity of hurricane relief, public assistance and the income gap between the rich and poor in the Gulf Coast. Even Monet's sanguine reassurance falls flat when the subject of the Chinese government's opportunistic bailout loans comes up... [BIO]Billionaires for Bush is a grassroots network of corporate lobbyists, decadent heiresses, Halliburton CEOs, and other winners under George W. Bush's economic policies. Headquartered on Wall Street, and withover 60 chapters nationwide, Billionaires for Bush worked tirelessly to ensure the success of Bush-era policies that put profits over people. billionairesforbush.com","United States|Hurricane Katrina (2005)|Gulf Coast|Gentrification|Police, state|Halliburton & Company|Bush, George W. (George Walker), 1946-|U.S.-China relations",Andrew Boyd,,,2
