"HI #","Inventory","DMD Finalized","Title","Alternate title 1","Alternate title 2","Alternate title 3","Alternate title 4","Alternate title 5","Collection","Conference","Event type","Date of event","Location information","Subject","Summary","Artist bio","Copyright holder","Main production credits","Participants","Run time","Run time rounded","Source media format","How many source media form items?","Language","Language note","Publication cycle","Copyright contact designation","Copyright address","Copyright business phone","Copyright mobile phone","Copyright fax","Copyright email 1","Copyright email 2","Copyright email 3","Copyright website"
"HI2019_034_01","ns1rnh3g","checked","Parricidio",,,,,,"Deborah Castillo Collection",,"Video art,Video performance",2017,"Galería Carmen Araujo Arte, Caracas, Venezuela."," Dictatorship | Latin America., Idolatry | Latin America.,Colonialisms,Parricide","In this performance, Deborah Castillo questions the popular monuments honoring Latin American independence heroes. Countless memorials are found in cities and towns across Latin America, each with a distinct style. Here, the icon is destroyed, a big explosion obliterates the head of the sculpture. In Deborah's words, ""It embodies the implosion of the hero, leaving ruins behind."" This piece hints at the Venezuelan dictatorship and its symbolic connection to every other Latin-American regime in the 20th century.","Deborah Castillo is a Venezuela-born, Brooklyn based multidisciplinary artist. She holds an MFA and BFA from Armando Reverón Higher Education School of Fine Arts Caracas, Venezuela. Deborah has been granted numerous awards and residencies including NYFA Immigrant Artist Mentoring Program, (2015), NYC, The Banff  Center. Artist in Residence  Program in Visual Arts (2015) Canada, Atlantic Center for the Arts (2014), Florida and London Print Studio, (2007) UK as well as “Premio Armando Reveron”; AVAP in the “Young Artist Category” (2013), “XI Salón Eugenio Mendoza” Award, Sala Mendoza, (2003); VI Salón CANTV, Jóvenes con FIA” Award, (2003) Caracas, Venezuela and more. Her work has been exhibited at Museum of Arts and Design (US), New Museum (US), Rufino Tamayo Museum (Mexico), Carrillo Gil  Museum (Mexico); Escuela de Bellas Artes, Bolivian Biennial SIART (Bolivia), UCLA (US), ICA (UK), Palais de Tokyo (France, The Broad Museum (US), Smack Mellon (US), and the Hemispheric Institute (US), among others.","Deborah Castillo","Deborah Castillo.",,"7:03.00","0:07","digital file",1,"Spanish","No spoken language.","2020-06 June",,,,,,,,,
"HI2019_035_01","6hdr811b","checked","Lickzuela",,,,,,"Deborah Castillo Collection",,"Video performance,Video art",2012,"Velada de Santa Lucia, Maracaibo, Venezuela."," Video performance, Politics and culture., Military dictatorship, Idolatry | Latin America., Dictatorship | Latin America., Fetishism.","In Lickzuela (2012), Deborah Castillo comments on the historical and contemporary fascination with military power structures. She plays suggestively with the common symbology of the soldier by licking a military boot. In doing so, Castillo adds a layer of sexual fetish to the violence already fetishized by societal ideas of militaristic force. Particularly within Venezuela, the idolatry for the state and the military is almost indistinguishable.","Deborah Castillo is a Venezuela-born, Brooklyn based multidisciplinary artist. She holds an MFA and BFA from Armando Reverón Higher Education School of Fine Arts Caracas, Venezuela. Deborah has been granted numerous awards and residencies including NYFA Immigrant Artist Mentoring Program, (2015), NYC, The Banff  Center. Artist in Residence  Program in Visual Arts (2015) Canada, Atlantic Center for the Arts (2014), Florida and London Print Studio, (2007) UK as well as “Premio Armando Reveron”; AVAP in the “Young Artist Category” (2013), “XI Salón Eugenio Mendoza” Award, Sala Mendoza, (2003); VI Salón CANTV, Jóvenes con FIA” Award, (2003) Caracas, Venezuela and more. Her work has been exhibited at Museum of Arts and Design (US), New Museum (US), Rufino Tamayo Museum (Mexico), Carrillo Gil  Museum (Mexico); Escuela de Bellas Artes, Bolivian Biennial SIART (Bolivia), UCLA (US), ICA (UK), Palais de Tokyo (France, The Broad Museum (US), Smack Mellon (US), and the Hemispheric Institute (US), among others.","Deborah Castillo","Deborah Castillo.",,"1:50.00","0:02","digital file",1,"Spanish","No spoken language.","2020-06 June",,,,,,,,,
"HI2019_036_01","rjdfn9bf","checked","El secuestro de la ministra de cultura","The Kidnapping of the Minister of Culture","Test alt title",,,,"Deborah Castillo Collection",,"Short film.,Video performance",2011,"Caracas, Venezuela."," Video performance, Political satire., Latin America | History | Political aspects., Latin America | Politics and government","In El secuestro de la ministra de cultura (2011), a criminal gang kidnaps the Venezuelan Minister of Culture. Her husband has to pay for the ransom and uses piece of artwork, with certificates of authenticity, to assure a high value. The performance satirizes the telenovela format and sensasionalist television more broadly. Here, artist Deborah Castillo portrays the role of free-market economy and bureucracy within Venezuelan culture. She also comments on the rampant illegal practice of buying influence inside Venezuela, a socialist country where the goverment takes pride in the alleged equal distribution of cultural capital. ","Deborah Castillo is a Venezuela-born, Brooklyn based multidisciplinary artist. She holds an MFA and BFA from Armando Reverón Higher Education School of Fine Arts Caracas, Venezuela. Deborah has been granted numerous awards and residencies including NYFA Immigrant Artist Mentoring Program, (2015), NYC, The Banff  Center. Artist in Residence  Program in Visual Arts (2015) Canada, Atlantic Center for the Arts (2014), Florida and London Print Studio, (2007) UK as well as “Premio Armando Reveron”; AVAP in the “Young Artist Category” (2013), “XI Salón Eugenio Mendoza” Award, Sala Mendoza, (2003); VI Salón CANTV, Jóvenes con FIA” Award, (2003) Caracas, Venezuela and more. Her work has been exhibited at Museum of Arts and Design (US), New Museum (US), Rufino Tamayo Museum (Mexico), Carrillo Gil  Museum (Mexico); Escuela de Bellas Artes, Bolivian Biennial SIART (Bolivia), UCLA (US), ICA (UK), Palais de Tokyo (France, The Broad Museum (US), Smack Mellon (US), and the Hemispheric Institute (US), among others.","Deborah Castillo","Ivan Canedo. Gerardo Rojas. Luis Arroyo. Jose Miguel Del Pozo. Federico Ovalles-Ar. Angela Capasso. Liliana Lara (Colectivo Bajalenguas).  Aixa Sanchez. Pablo León De La Barra. Felix Suazo. Alonso Núñez. Marjiatta Gottopo. Lorena Gonzalez. Carlos Leonzi. Tita Boufrand. Alberto Negrón. Luis Poleo. Toni Arellano. Jaime Castro.",,"1:42.00","0:02","digital file",1,"Spanish",,"2020-06 June",,,,,,,,,
"HI2019_037_01","hqbzkqd1","checked","Mona",,,,,,"Deborah Castillo Collection",,"Video performance",2011,," Video performance, Sexuality, Gender and sexuality, Gender and society, Identity politics.","In Mona (2011), Deborah Castillo comments on the social construct of the ""sexy"", hard-working and tireless woman. She portrays a woman exercising on an elliptical machine while wearing high heels. Behind her and in contrast, a pair of boots—a common symbol in Castillo's work—rests on the pedals of the machine. ","Deborah Castillo is a Venezuela-born, Brooklyn based multidisciplinary artist. She holds an MFA and BFA from Armando Reverón Higher Education School of Fine Arts Caracas, Venezuela. Deborah has been granted numerous awards and residencies including NYFA Immigrant Artist Mentoring Program, (2015), NYC, The Banff  Center. Artist in Residence  Program in Visual Arts (2015) Canada, Atlantic Center for the Arts (2014), Florida and London Print Studio, (2007) UK as well as “Premio Armando Reveron”; AVAP in the “Young Artist Category” (2013), “XI Salón Eugenio Mendoza” Award, Sala Mendoza, (2003); VI Salón CANTV, Jóvenes con FIA” Award, (2003) Caracas, Venezuela and more. Her work has been exhibited at Museum of Arts and Design (US), New Museum (US), Rufino Tamayo Museum (Mexico), Carrillo Gil  Museum (Mexico); Escuela de Bellas Artes, Bolivian Biennial SIART (Bolivia), UCLA (US), ICA (UK), Palais de Tokyo (France, The Broad Museum (US), Smack Mellon (US), and the Hemispheric Institute (US), among others.","Deborah Castillo","Deborah Castillo.",,"1:00.00","0:01","digital file",1,"Spanish","No spoken language.","2020-06 June",,,,,,,,,
"HI2019_038_01","qrfj6xj8","checked","La Supersudaca",,,,,,"Deborah Castillo Collection",,"Performance,Performance art.",2008,"Espacio Escala. Cajasol, Sevilla, Spain.",""" Women, sexuality and culture"", Identity politics.,Colonialisms","In La Supersudaca (2008), a woman cleans every inch of a gallery, in a small maid suit. Her movements are delicate, and sometimes she adjusts her plastic breasts.  The performance is a stark comment on the role of Latin-American immigrant women in Europe, especially in Spain. The performance is a portrait of the hypersexuallization and xenophobia these women often experience, bringing attention to the patriarchal hegemony between colonized and colonizer, also between employer and employee.","Deborah Castillo is a Venezuela-born, Brooklyn based multidisciplinary artist. She holds an MFA and BFA from Armando Reverón Higher Education School of Fine Arts Caracas, Venezuela. Deborah has been granted numerous awards and residencies including NYFA Immigrant Artist Mentoring Program, (2015), NYC, The Banff  Center. Artist in Residence  Program in Visual Arts (2015) Canada, Atlantic Center for the Arts (2014), Florida and London Print Studio, (2007) UK as well as “Premio Armando Reveron”; AVAP in the “Young Artist Category” (2013), “XI Salón Eugenio Mendoza” Award, Sala Mendoza, (2003); VI Salón CANTV, Jóvenes con FIA” Award, (2003) Caracas, Venezuela and more. Her work has been exhibited at Museum of Arts and Design (US), New Museum (US), Rufino Tamayo Museum (Mexico), Carrillo Gil  Museum (Mexico); Escuela de Bellas Artes, Bolivian Biennial SIART (Bolivia), UCLA (US), ICA (UK), Palais de Tokyo (France, The Broad Museum (US), Smack Mellon (US), and the Hemispheric Institute (US), among others.","Deborah Castillo","Deborah Castillo.",,"1:47.00","0:02","digital file",1,"Spanish","No spoken language.","2020-06 June",,,,,,,,,
"HI2019_039_01","z8w9gr9k","checked","Slapping Power",,,,,,"Deborah Castillo Collection",,"Video performance",2015,"Caracas, Venezuela."," Idolatry | Latin America., Latin America | Politics and government, Fetishism., Video performance,Colonialisms","In Slapping Power (2015), Deborah Castillo slaps two busts representative of patriarchal power. Both sculptures are made of wet clay, and with each slap Castillo distorts their faces until they are unrecognizable. Castillo employs, confronts, and subverts violence as she questions patriarchal notions of power.","Deborah Castillo is a Venezuela-born, Brooklyn based multidisciplinary artist. She holds an MFA and BFA from Armando Reverón Higher Education School of Fine Arts Caracas, Venezuela. Deborah has been granted numerous awards and residencies including NYFA Immigrant Artist Mentoring Program, (2015), NYC, The Banff  Center. Artist in Residence  Program in Visual Arts (2015) Canada, Atlantic Center for the Arts (2014), Florida and London Print Studio, (2007) UK as well as “Premio Armando Reveron”; AVAP in the “Young Artist Category” (2013), “XI Salón Eugenio Mendoza” Award, Sala Mendoza, (2003); VI Salón CANTV, Jóvenes con FIA” Award, (2003) Caracas, Venezuela and more. Her work has been exhibited at Museum of Arts and Design (US), New Museum (US), Rufino Tamayo Museum (Mexico), Carrillo Gil  Museum (Mexico); Escuela de Bellas Artes, Bolivian Biennial SIART (Bolivia), UCLA (US), ICA (UK), Palais de Tokyo (France, The Broad Museum (US), Smack Mellon (US), and the Hemispheric Institute (US), among others.","Deborah Castillo","Deborah Castillo.",,"3:49.00","0:04","digital file",1,"Spanish","No spoken language.","2020-06 June",,,,,,,,,
"HI2019_040_01","c59zwb2j","checked","Theoretical Fetish",,,,,,"Deborah Castillo Collection",,"Video performance",2013,," Fetishism., Latin America | History | Political aspects., Idolatry | Latin America., Gender and sexuality,""Artaud, Antonin (1896-1948)""","Theoretical Fetish (2013) critiques the tendency to obsess over certain hallmark texts and authors in leftist Latin American culture. Artist Deborah Castillo reads and licks sections of Antonin Artaud's Letter to Power, embodying the fetishistic approach to the text. In another version of this performance Castillo uses Crowds and Power by Elias Canetti.","Deborah Castillo is a Venezuela-born, Brooklyn based multidisciplinary artist. She holds an MFA and BFA from Armando Reverón Higher Education School of Fine Arts Caracas, Venezuela. Deborah has been granted numerous awards and residencies including NYFA Immigrant Artist Mentoring Program, (2015), NYC, The Banff  Center. Artist in Residence  Program in Visual Arts (2015) Canada, Atlantic Center for the Arts (2014), Florida and London Print Studio, (2007) UK as well as “Premio Armando Reveron”; AVAP in the “Young Artist Category” (2013), “XI Salón Eugenio Mendoza” Award, Sala Mendoza, (2003); VI Salón CANTV, Jóvenes con FIA” Award, (2003) Caracas, Venezuela and more. Her work has been exhibited at Museum of Arts and Design (US), New Museum (US), Rufino Tamayo Museum (Mexico), Carrillo Gil  Museum (Mexico); Escuela de Bellas Artes, Bolivian Biennial SIART (Bolivia), UCLA (US), ICA (UK), Palais de Tokyo (France, The Broad Museum (US), Smack Mellon (US), and the Hemispheric Institute (US), among others.","Deborah Castillo","Deborah Castillo.",,"3:08.00","0:03","digital file",1,"Spanish","No spoken language.","2020-06 June",,,,,,,,,
"HI2019_041_01","pnvx0smd","checked","Demagogue",,,,,,"Deborah Castillo Collection",,"Video performance",2014,," Gender and sexuality, Latin America | History | Political aspects., Identity politics., Fetishism., Idolatry | Latin America.","Demagogue (2014), features a sculpture of a man with an oversized phallic nose. The artist touches it suggestively with her hand. This performance plays with the multiple implications of a nose as a protuding appendage: as a symbol of sexual acts, and also of a liar disfigured by hubris and dishonesty. Castillo attributes each of these qualities to men honored by institutions and monuments. In her work there is a frequent portrayal of socialist dictators resignified through sexual elements. ","Deborah Castillo is a Venezuela-born, Brooklyn based multidisciplinary artist. She holds an MFA and BFA from Armando Reverón Higher Education School of Fine Arts Caracas, Venezuela. Deborah has been granted numerous awards and residencies including NYFA Immigrant Artist Mentoring Program, (2015), NYC, The Banff  Center. Artist in Residence  Program in Visual Arts (2015) Canada, Atlantic Center for the Arts (2014), Florida and London Print Studio, (2007) UK as well as “Premio Armando Reveron”; AVAP in the “Young Artist Category” (2013), “XI Salón Eugenio Mendoza” Award, Sala Mendoza, (2003); VI Salón CANTV, Jóvenes con FIA” Award, (2003) Caracas, Venezuela and more. Her work has been exhibited at Museum of Arts and Design (US), New Museum (US), Rufino Tamayo Museum (Mexico), Carrillo Gil  Museum (Mexico); Escuela de Bellas Artes, Bolivian Biennial SIART (Bolivia), UCLA (US), ICA (UK), Palais de Tokyo (France, The Broad Museum (US), Smack Mellon (US), and the Hemispheric Institute (US), among others.","Deborah Castillo","Deborah Castillo.",,"1:24.00","0:01","digital file",1,"Spanish","No spoken language.","2020-06 June",,,,,,,,,
"HI2019_042_01","h44j1612","checked","Free Speech",,,,,,"Deborah Castillo Collection",,"Video performance",2017,"Carmen Araujo Arte, Caracas, Venezuela"," Fetishism., Emigration and immigration | Political aspects., Sexual politics., Video performance,Xenophobia","The artist's mouth with intense red lipstick is seen in a close up. In her teeth and on her tongue, there are insults such as ""Latrina, Sudaca, Puta, Border Bunny."" Her tongue moves the small golden letters around with confidence. While misogyny and xenophobia are the central themes of this performance, the seductive act of licking implies an undoing of the power the words carry and a reclamation of terms commonly seen as pejorative.","Deborah Castillo is a Venezuela-born, Brooklyn based multidisciplinary artist. She holds an MFA and BFA from Armando Reverón Higher Education School of Fine Arts Caracas, Venezuela. Deborah has been granted numerous awards and residencies including NYFA Immigrant Artist Mentoring Program, (2015), NYC, The Banff  Center. Artist in Residence  Program in Visual Arts (2015) Canada, Atlantic Center for the Arts (2014), Florida and London Print Studio, (2007) UK as well as “Premio Armando Reveron”; AVAP in the “Young Artist Category” (2013), “XI Salón Eugenio Mendoza” Award, Sala Mendoza, (2003); VI Salón CANTV, Jóvenes con FIA” Award, (2003) Caracas, Venezuela and more. Her work has been exhibited at Museum of Arts and Design (US), New Museum (US), Rufino Tamayo Museum (Mexico), Carrillo Gil  Museum (Mexico); Escuela de Bellas Artes, Bolivian Biennial SIART (Bolivia), UCLA (US), ICA (UK), Palais de Tokyo (France, The Broad Museum (US), Smack Mellon (US), and the Hemispheric Institute (US), among others.","Deborah Castillo","Deborah Castillo.",,"5:22.00","0:05","digital file",1,"Spanish,English",,"2020-06 June",,,,,,,,,
"HI2019_043_01","b5mkm3vn","checked","The Dictatrix",,,,,,"Deborah Castillo Collection",,"Video performance",2018,," Gender and performance, Gender and society, Military dictatorship,""Mao, Ze Dong, 1893-1976"",""Lenin, Vladimir Ilʹich, 1870-1924"",""Castro, Fidel, 1926-2016"",""Marx, Karl, 1818-1883"",""Stalin, Joseph, 1878-1953""","Five women stand in a dark room. They are nude except for the busts they wear, each bearing the face of a dictator: Mao Zedong, Vladimir Lenin, Karl Marx, Fidel Castro, and Joseph Stalin. The Dictatrix (2018) playfully examines notions of power within and upon the hypersexualized bodies of women. Their gestures and their naked forms clash with the masculinist theories and ideas of uniformity espoused by each political figure the women portray. ","Deborah Castillo is a Venezuela-born, Brooklyn based multidisciplinary artist. She holds an MFA and BFA from Armando Reverón Higher Education School of Fine Arts Caracas, Venezuela. Deborah has been granted numerous awards and residencies including NYFA Immigrant Artist Mentoring Program, (2015), NYC, The Banff  Center. Artist in Residence  Program in Visual Arts (2015) Canada, Atlantic Center for the Arts (2014), Florida and London Print Studio, (2007) UK as well as “Premio Armando Reveron”; AVAP in the “Young Artist Category” (2013), “XI Salón Eugenio Mendoza” Award, Sala Mendoza, (2003); VI Salón CANTV, Jóvenes con FIA” Award, (2003) Caracas, Venezuela and more. Her work has been exhibited at Museum of Arts and Design (US), New Museum (US), Rufino Tamayo Museum (Mexico), Carrillo Gil  Museum (Mexico); Escuela de Bellas Artes, Bolivian Biennial SIART (Bolivia), UCLA (US), ICA (UK), Palais de Tokyo (France, The Broad Museum (US), Smack Mellon (US), and the Hemispheric Institute (US), among others.","Deborah Castillo","Deborah Castillo.",,"4:11.00","0:04","digital file",1,"Spanish","No spoken language.","2020-06 June",,,,,,,,,
