"Noid for final content
DLTS/KARMS (Joe/Daniel)",9. Pub - Prod,"1: Assign HI #
Hemi (Jehan)","5. Cataloged Aleph BSN
KARMS (Robert)"
fj6q59fx,Y,HI2014_032,005037783
k98sfb0h,Y,HI2014_033,005054611
q2bvqbgd,Y,HI2014_034,005054626
tqjq2f8s,Y,HI2014_035,005055272
zgmsbfrp,Y,HI2014_036,005055273
70rxwgmz,Y,HI2014_038,005055486
brv15h5r,Y,HI2014_039,005055635
ghx3fhrc,Y,HI2014_040,005055642
m905qj7j,Y,HI2014_041,005055672
qz612n0p,Y,HI2014_042,005055688
hhmgqqxt,Y,HI2014_048,0050507842
n5tb2tq7,Y,HI2014_049,005057843
wpzgmvqf,Y,HI2014_051,005057845
1g1jww2n,Y,HI2014_052,005057846
573n5wm5,Y,HI2014_053,005057840 
905qfx5r,Y,HI2014_054,005837741
dr7sqxnm,Y,HI2014_055,005837761
xpnvx300,Y,HI2014_059,005014696
2fqz63c9,Y,HI2014_060,005014705
qbzkh3nf,Y,HI2014_096,005033407
gqnk9c41,Y,"HI2014_110_01 - pt 1 (day 1)
HI2014_111_01 - pt 2 (day 1)
HI2014_112_01 - pt 3 (day 1)",005037257
mgqnkcpd,Y,"HI2014_113_01 - pt 1 (day 2)
HI2014_114_01 - pt 2 (day 2)",004191959
f7m0cjgc,Y,"HI2014_115 (pt.1)
HI2014_116 (pt.2)",005037313
w0vt4dps,Y,"HI2014_118 (pt.1)
HI2014_119 (pt.2)","005682780
"
0p2nghb4,Y,HI2014_120,005887614
4f4qrht1,Y,HI2014_122,"005887787
"
cz8w9jvm,Y,HI2014_125,"005887834
"
k0p2njz8,Y,HI2014_130,005888341
w6m909kc,Y,HI2015_012,006004823
rfj6q91v,Y,HI2015_013,"006004864
"
mpg4f8g8,Y,HI2015_014,006005364
gxd257zx,Y,HI2015_015,006005392
c59zw7fk,Y,HI2015_016,006005425
7d7wm6zg,Y,HI2015_017,006005449
3ffbgc2w,Y,HI2016_016,005888334
zpc86bph,Y,"HI2016_017
HI2016_018","005888648
"
hhmgqsb4,Y,HI2016_036_01,006016010
crjdfrv1,Y,HI2016_037_01,006016036
80gb5rbx,Y,HI2016_038_01,006016046
47d7wqs6,Y,HI2016_039_01,006016102
0gb5mq82,Y,HI2016_040_01,"006016169
"
q83bk3vj,Y,"HI2007_040_A_01 
HI2007_040_B_01 
HI2007.040_01_A",000515335
p8cz8wk3,Y,"HI2007_047_A_01 
HI2007_047_B_01
HI2007.047_01_A",000515808
xksn0365,Y,HI2006_021_01,000518016
83bk3jjj,Y,"HI2006_040_01 
HI2006_041_01",000516175
p8cz8wk3,Y,HI2007_047_01,000515808
08kprr9k,Y,"HI2007_097_01_A 
HI2007_097_01_B",000540522
z08kps2t,Y,HI2007_195_01,000549820
pg4f4shx,Y,"HI2011_041_01 
HI2011_042_01",003747291
66t1g3wj,Y,HI2014_061_01 ,004317466
q573n85b,Y,HI2014_065_01 ,004317444
73n5tddm,Y,HI2014_069_01 ,004319323
bvq83dwm,Y,HI2014_070_01 ,004319325
gmsbcfbg,Y,HI2014_071_01 ,004319326
mcvdnfvm,Y,HI2014_072_01 ,004319327
vx0k6gzr,Y,HI2014_073_01 ,004319328
mkkwh9c7,Y,HI2014_103_01,004319784
5dv41r2b,Y,HI2014_134_01,004191960
95x69rkg,Y,HI2014_135_01,004192172
dz08ks43,Y,HI2014_136_01,004192582
jq2bvsn7,Y,HI2014_137_01,004192583
pg4f4t4g,Y,HI2014_138,004240336
t4b8gwzs,Y,HI2014_139_01,004192584
6t1g1ncn,Y,HI2014_157,004319940
4mw6mc9f,Y,HI2014_158,004319941
8cz8wcsb,Y,HI2014_159,004319942
ht76hh4c,Y,"HI2014_161 (pt.1)
HI2014_162 (pt.2)
HI2014_163 (pt.3)",004163212
x3ffbjnw,Y,HI2014_164_01,004163193
